"","Link","Anchor Text","grp"
"1","http://www.cfsph.iastate.edu/Emergency-Response/Just-in-Time/16-Wildlife-Management-Vector-Control.pptx","wildlife management and vector control for fad","A_An_grey"
"2","http://www.responsivemanagement.com/about.php","responsive management -- about","A_An_grey"
"3","https://birdcontrolgroup.com/","bird control group prevents conflicts between humans & birds","A_An_grey"
"4","http://pdma.gos.pk/new/","sindh disaster management authority ... - pdma sindh","A_An_grey"
"5","https://www.sciencedirect.com/science/article/pii/S0378112717300452","response of bird community structure to habitat management ...","A_An_grey"
"6","https://www.nixalite.com/products/bird-control-products","bird control products | nixalite","A_An_grey"
"7","https://www.aphis.usda.gov/animal_health/emergency_management/downloads/ed_materials/wm_overview_presentation.pptx","wildlife management & vector control - usda","A_An_grey"
"8","https://www2.estrellamountain.edu/faculty/farabee/BIOBK/BioBookANIMORGSYS.html","animal organ systems and homeostasis","A_An_grey"
"9","https://www.researchgate.net/profile/Alfons_Mosimane/publication/265288888_Wildlife_tourism_community_natural_resource_management_wildlife_value_orientations_and_quality_indicators_in_indigenous_Namibian_villages/links/54b629260cf26833efd35893.pdf?origin=publication_list","wildlife tourism  community<based natural resource <U+0085>","A_An_grey"
"10","http://myfwc.com/wildlifehabitats/profiles/mammals/land/wild-hog/","land mammals - wild hog - florida fish and wildlife ...","A_An_grey"
"11","http://sero.nmfs.noaa.gov/protected_resources/marine_mammal_health_and_stranding_response_program/index.html","marine mammal health and stranding response program ...","A_An_grey"
"12","http://www.wildlifecampus.com/Courses/WildlifeManagement/NutritionalPhysiologyforHerbivores/NutritionalValueofPlants/55.pdf","nutritional value of plants - wildlifecampus","A_An_grey"
"13","http://study.com/articles/Associates_in_Wildlife_Management_Degree_Program_Overview.html","associates in wildlife management: degree program overview","A_An_grey"
"14","https://www.gov.uk/topic/environmental-management/wildlife-habitat-conservation","environmental management : wildlife and habitat ...","A_An_grey"
"15","https://extension.psu.edu/animals-and-livestock/wildlife","wildlife - animals and livestock - penn state extension","A_An_grey"
"16","http://www.fws.gov/alaska/PDFs/PBRT%20Recovery%20Plan%20Book.pdf","draft conservation management plan - us fish and wildlife ...","A_An_grey"
"17","https://www.cabi.org/isc/abstract/20133343859","invasive and introduced plants and animals: human perceptions, attitudes and approaches to management.","A_An_grey"
"18","https://www.cabi.org/isc/abstract/20113223654","factors influencing public preferences for invasive alien species management.","A_An_grey"
"19","https://www.cabi.org/isc/abstract/20113254383","palatability and efficacy of rodent baits for eradicating house mice (<i xmlns=""http://www.w3.org/1999/xhtml mus musculus</i>) from gough island, tristan da cunha.","A_An_grey"
"20","https://www.cabi.org/isc/abstract/20073146445","invasive plant suppresses charismatic seabird - the construction of attitudes towards biodiversity management options.","A_An_grey"
"21","https://www.cabi.org/isc/abstract/20153081080","prioritizing islands for the eradication of invasive vertebrates in the united kingdom overseas territories.","A_An_grey"
"22","https://www.cabi.org/isc/abstract/20153217303","response of feral cats to a track-based baiting programme using <i xmlns=""http://www.w3.org/1999/xhtml eradicat</i>® baits.","A_An_grey"
"23","https://www.cabi.org/isc/abstract/20133171349","population response of giant galápagos tortoises to feral goat removal.","A_An_grey"
"24","https://www.cabi.org/isc/abstract/20133316419","assessing the potential to restore historic grazing ecosystems with tortoise ecological replacements.","A_An_grey"
"25","https://www.cabi.org/isc/abstract/20143165026","designing weed containment strategies: an approach based on feasibilities of eradication and containment.","A_An_grey"
"26","https://www.cabi.org/isc/abstract/20143020058","correlated recovery of five lizard populations following eradication of invasive mammals.","A_An_grey"
"27","https://www.cabi.org/isc/abstract/20123254242","signals of change in tropical savanna woodland vertebrate fauna 5 years after cessation of livestock grazing.","A_An_grey"
"28","https://www.cabi.org/isc/abstract/20143161386","in situ growth and rapid response management of flood-dispersed japanese knotweed (<i xmlns=""http://www.w3.org/1999/xhtml fallopia japonica</i>).","A_An_grey"
"29","https://www.cabi.org/isc/abstract/20163098422","analysis of q fever in dutch dairy goat herds and assessment of control measures by means of a transmission model.","A_An_grey"
"30","https://www.cabi.org/isc/abstract/20173323012","effectiveness of a bounty program for reducing wild pig densities.","A_An_grey"
"31","https://www.cabi.org/isc/abstract/20173310945","examining private landowners' knowledge systems for an invasive species.","A_An_grey"
"32","https://www.cabi.org/isc/abstract/20113378923","the conservation and restoration of mexican islands: a programmatic approach and the systematic eradication of invasive mammals.","A_An_grey"
