"","Authors","Title","Year","Source","grp"
"8","D Haag-Wackernagel","regulation of the street pigeon in basel",1995,"Wildlife Society Bulletin (1973-2006)","A_An_primary"
"18","RB Nichols","the destruction of wildlife habitat by suburban sprawl and the mitigating effects of land use planning",1998,"","A_An_primary"
"22","D Che, T Cable","managing prairie dogs for prairie heritage, biodiversity, and wildlife tourism",2010,"Journal of Heritage Tourism","A_An_primary"
"25","F Tough","conservation and the indian: clifford sifton's commission of conservation, 1910–1919",1992,"Native Studies Review","A_An_primary"
"35","T Bjerke, TS Ødegårdstuen, BP Kaltenborn","attitudes toward animals among norwegian adolescents",1998,"Anthrozoös","A_An_primary"
"37","J Pate, MJ Manfredo, AD Bright, G Tischbein","coloradans' attitudes toward reintroducing the gray wolf into colorado",1996,"Wildlife Society Bulletin","A_An_primary"
"43","HV Thompson","wildlife as vectors in diseases: approaches to solving these problems in the united kingdom",1978,"","A_An_primary"
"55","N Mooney","the falcon wars",2013,"Wildlife Australia","A_An_primary"
"71","J Bisi, T Liukkonen, S Mykrä, M Pohja-Mykrä, ...","the good bad wolf—wolf evaluation reveals the roots of the finnish wolf conflict",2010,"… Journal of Wildlife …","A_An_primary"
"72","DM Andrews","classroom safari",1974,"The American Biology Teacher","A_An_primary"
"77","WN Scott","tsetse control by game destruction",1966,"Oryx","A_An_primary"
"80","P Prokop, J Fan?ovi?ová","tolerance of amphibians in slovakian people: a comparison of pond owners and non-owners",2012,"Anthrozoös","A_An_primary"
"82","J Kultgen","saving you for real people",1982,"Environmental Ethics","A_An_primary"
"88","D Villanueva","the envenoming pandemic and the misguided views of snakes: developing sustainable relationships between native poisonous snakes of india and the citizens …",2013,"","A_An_primary"
"89","B Child","the emergence of parks and conservation narratives in southern africa",2009,"… and innovation in wildlife conservation. Parks and …","A_An_primary"
"92","SL Hanisch-Kirkbride, JP Burroughs, ...","what are they thinking? exploring layperson conceptualizations of wildlife health and disease",2014,"… dimensions of wildlife","A_An_primary"
"110","H Brøseth, Ø Flagstad, C Wärdig, M Johansson, ...","large-scale noninvasive genetic monitoring of wolverines using scats reveals density dependent adult survival",2010,"Biological …","A_An_primary"
"117","PJ Li","explaining china's wildlife crisis cultural tradition or politics of development",2013,"Ignoring Nature No More: The Case for Compassionate …","A_An_primary"
"138","D Lunney, C Moon","an ecological history of australia's forests and fauna (1770–2010)",2012,"Encyclopaedia of Life Support Systems'.(Eds M. …","A_An_primary"
"141","M Musiani, PC Paquet","the practices of wolf persecution, protection, and restoration in canada and the united states",2004,"AIBS Bulletin","A_An_primary"
"142","N Behdarvand, M Kaboli, M Ahmadi, E Nourani, ...","spatial risk model and mitigation implications for wolf–human conflict in a highly modified agroecosystem in western iran",2014,"Biological …","A_An_primary"
"150","EH Fischer","consistency among humanitarian and helping attitudes",1973,"Social Forces","A_An_primary"
"158","B Zeide","another look at leopold's land ethic",1998,"Journal of Forestry","A_An_primary"
"159","WM Brown, DR Parsons","restoring the mexican gray wolf to the mountains of the southwest",2001,"Large mammal restoration, ecological …","A_An_primary"
"169","KEN KAWATA","return of el lobo: a recovery program coming of age",1997,"Mexican Gray Wolf Husbandry Manual","A_An_primary"
"176","RM Muth, RR Zwick, ME Mather, JF Organ, ...","unnecessary source of pain and suffering or necessary management tool: attitudes of conservation professionals toward outlawing leghold traps",2006,"Wildlife Society …","A_An_primary"
"189","S Sogue","literature review writing 1150-582 a delayed intervention, the rwandan genocide",0,"Writing","A_An_primary"
"193","M Jezek, M Holá, M Zikmund, T Kusta, ...","daily activity rhythm and habitat use of the semi-free european bison herd during the growing season/denni aktivita a vyuziti prostredi zubrem evropskym (bison …",2014,"Lesnicky …","A_An_primary"
"194","DM Lavigne, CJ Callaghan, RJ Smith","sustainable utilization: the lessons of history",1996,"The Exploitation of Mammal …","A_An_primary"
"195","Z Grossman","treaty rights and responding to anti-indian activity",2003,"Hate and Bias Crime","A_An_primary"
"196","GH Stander","stilbaii oil spill fumble",1971,"Marine Pollution Bulletin","A_An_primary"
"198","KJ Lindsey, CE Adams","public demand for information and assistance at the human–wildlife interface",2006,"Human Dimensions of Wildlife","A_An_primary"
"205","PJ Ethington","peter c. baldwin. domesticating the street: the reform of public space in hartford, 1850–1930.(urban life and urban landscape series.) columbus: …",2001,"","A_An_primary"
"214","A Cooperrider","conservation of biodiversity on western rangelands",1991,"Landscape linkages and biodiversity","A_An_primary"
"229","J Kavanaugh, MH Benson","reintroduction of conservation reliant species: an assessment of the southwestern grizzly bear's place on the recovery continuum",2013,"Human dimensions of wildlife","A_An_primary"
"232","LBBR from Endangered","wildlife management institute",0,"wildlifemanagementinstitute.org","A_An_primary"
"234","J Katajisto","habitat use and population dynamics of brown bears (ursus arctos) in scandinavia",2006,"","A_An_primary"
"237","D Foreman","from scenery to nature",1995,"Wild Earth","A_An_primary"
"241","TL McKnight","the feral burro in the united states: distribution and problems",1958,"The Journal of Wildlife Management","A_An_primary"
"243","A Kalland","brett l. walker. the lost wolves of japan. foreword by william cronon.(weyerhauser environmental books.) seattle: university of washington press. 2005. pp. xviii, …",2007,"","A_An_primary"
"247","TE Lovejoy","the epoch of biotic impoverishment",1979,"Great Basin Naturalist Memoirs","A_An_primary"
"248","WT Devine","nature conservation and land-use history of the chatham islands, new zealand",1982,"Biological Conservation","A_An_primary"
"255","N ole Ndaskoi","the roots causes of maasai predicament",2006,"Fourth World Journal","A_An_primary"
"257","J Carruthers","romance, reverence, research, rights: writing about elephant hunting and management in southern africa, c. 1830s to 2008",2010,"koedoe","A_An_primary"
"262","T Series","review section",2004,"","A_An_primary"
"266","T Tolles","preserved in bronze: the west's vanishing wildlife",2013,"The American West in Bronze, 1850-1925","A_An_primary"
"271","C Martin","paris feels the polar chill",2008,"Nature","A_An_primary"
"274","F Van Nuys","mountain lions and sport hunting in the american west",2009,"Wild Games: Hunting and Fishing Traditions in …","A_An_primary"
"282","HJ Abdulkadir, AO Owino, ...","spatial interactions of african elephant loxodonta africana with the resident communities bordering a semi-arid national park in northern kenya",2013,"International Journal of …","A_An_primary"
"288","E Bangs, M Jimenez, C Niemeyer, ...","nonlethal and lethal tools to manage wolf/livestock conflict in the northwestern united states",2006,"Proceedings of the …","A_An_primary"
"290","S SUTAR","unified approach to human-nature relationship",0,"% &'","A_An_primary"
"296","C Wemmer, D Watling","ecology and status of the sulawesi palm civet macrogalidia musschenbroekii schlegel",1986,"Biological Conservation","A_An_primary"
"299","C Mayda","from zoogeography to animal geography: the spatial commodification of animals",1998,"","A_An_primary"
"300","D WESTERN","population and the conservation implications",0,"pdf.usaid.gov","A_An_primary"
"303","HM Babcock","the sad story of the northern rocky mountain gray wold reintroduction program",2012,"Fordham Envtl. L. Rev.","A_An_primary"
"308","V Papastavrou, R Leaper, D Lavigne","why management decisions involving marine mammals should include animal welfare",2017,"Marine Policy","A_An_primary"
"311","J Beattie","empire and environmental anxiety: health, science, art and conservation in south asia and australasia, 1800–1920 new york: palgrave macmillan, 2011 …",2013,"","A_An_primary"
"314","J Byrne","the human relationship with nature",2010,"The Routledge Handbook of Urban Ecology. London: …","A_An_primary"
"323","LM Talbot","the role of predators in ecosystem management",1978,"The Breakdown and Restoration of Ecosystems","A_An_primary"
"332","C Armory","cruelty for fun",1969,"","A_An_primary"
"333","S Galipeau","the wolf: an ecological case study",2015,"Psychological Perspectives","A_An_primary"
"342","J Murombedzi","pre-colonial and colonial conservation practices in southern africa and their legacy today",2003,"Gland, Switzerland: IUCN","A_An_primary"
"345","G Allen, L Unwin","the changing role of hunting and wildlife",0,"Geographische Rundschau","A_An_primary"
"346","MV Barrow","science, sentiment, and the specter of extinction: reconsidering birds of prey during america's interwar years",2002,"Environmental History","A_An_primary"
"353","DF Littlefield","washington irving and the american indian",1979,"American Indian Quarterly","A_An_primary"
"354","R Sollund","animal abuse, animal rights and species justice",2013,"American Society of Criminology 69th Annual Meeting, …","A_An_primary"
"371","G Brechin","conserving the race: natural aristocracies, eugenics, and the us conservation movement",1996,"Antipode","A_An_primary"
"374","M Taylor","coyote beautiful: the joy of sisterhood in barbara kingsolver's prodigalsummer",2006,"Postscript: Publication of the Philologicla Association of …","A_An_primary"
"378","D Western, MC Pearl, SL Pimm, B Walker, ...","an agenda for conservation action",1989,"Conservation for the …","A_An_primary"
"379","T Simon-Jackson","sea otter survey, cordova, alaska, 1986 (orca inlet to cape suckling)",1986,"","A_An_primary"
"387","MD Gumert, A Fuentes, G Engel, ...","13 future directions for research and conservation of long-tailed macaque populations",2011,"Monkeys on the edge: …","A_An_primary"
"390","S MANUAL","wisconsin",1957,"","A_An_primary"
"401","P Hollindale","westall's kingdom",1994,"Children's Literature in Education","A_An_primary"
"402","B Recognition III, GB Rails, ...","subscribe/renew",1956,"The Quarterly Review …","A_An_primary"
"407","E Torp","traditional sami knowledge of predators and swedish environmental policy",2001,"Acta Borealia","A_An_primary"
"410","J Dahlenburg, J Hodgson, C Madden, E Toland","cessation of whaling in antarctic waters-a case for regulation under the antarctic treaty",2010,"","A_An_primary"
"412","NV Potseluyeva, TN Fedulenkova","??????????? ? ???????",0,"LINGUA MOBILIS","A_An_primary"
"416","G Van Horn","fire on the mountain: ecology gets its narrative totem.",2011,"Journal for the Study of Religion, Nature & …","A_An_primary"
"417","M McCloskey","wilderness act of 1964: its background and meaning, the",1965,"Or. L. Rev.","A_An_primary"
"421","K Schmidt-Soltau","conservation initiatives and local responses around korup national park (cameroon)",2002,"Annual Conference of the Association for …","A_An_primary"
"422","BJ Stubbs","from'useless brutes' to national treasures: a century of evolving attitudes towards native fauna in new south wales, 1860s to 1960s",2001,"Environment and History","A_An_primary"
"427","DG Payne, RS Newman","aldo leopold (1887–1948)",2005,"The Palgrave Environmental Reader","A_An_primary"
"435","J Hopkins","linkages",0,"instituteforecologicalhealth.org","A_An_primary"
"437","J Sandlos","landscaping desire: poetics, politics in the early biological surveys of the canadian north",2003,"Space and Culture","A_An_primary"
"440","DD Goble","of wolves and welfare ranching",1992,"Harv. Envtl. L. Rev.","A_An_primary"
"448","MV Barrow","dragons in distress: naturalists as bioactivists in the campaign to save the american alligator",2009,"Journal of the History of Biology","A_An_primary"
"451","JE Potzger","the role of conservation and sympathy in nature study",1942,"School Science and Mathematics","A_An_primary"
"463","SM Young","on the status of vermin",2006,"Between the Species","A_An_primary"
"465","E Von Essen, HP Hansen, HN Källström, ...","the radicalisation of rural resistance: how hunting counterpublics in the nordic countries contribute to illegal hunting",2015,"Journal of rural …","A_An_primary"
"466","K Overskaug, A Rokne, ...","the “intelligent layman” and science communication in norwegian public places",2014,"Science …","A_An_primary"
"473","W Cronon","landscapes of abundance and scarcity",1994,"The Oxford History of the American West","A_An_primary"
"485","N Nattrass, B Conradie, M Drouilly, MJ O'Riain","a brief history of predators, sheep farmers and government in the western cape, south africa",2017,"","A_An_primary"
"490","J Li","the wolves may have won the battle, but not the war: how the west was won under the northern rocky mountain wolf recovery plan",2000,"Environmental Law","A_An_primary"
