"","Link","Anchor Text","grp"
"1","https://www.fws.gov/emergency/","u.s. fish and wildlife service - emergency management","A_D_grey"
"2","https://www.britannica.com/animal/mammal","mammal | definition","A_D_grey"
"3","http://acaai.org/allergies/types/food-allergies/types-food-allergy/meat-allergy","meat allergy | causes","A_D_grey"
"4","https://www.wildlife.ca.gov/Conservation","conservation and management of wildlife and habitat","A_D_grey"
"5","https://ceopedia.org/","ceopedia | management online","A_D_grey"
"6","http://newsinfo.inquirer.net/923963/da-bird-flu-situation-under-control","da: bird flu situation ‘under control’ | inquirer news","A_D_grey"
"7","http://www.ncwildlife.org/Portals/0/Hunting/Documents/CWD-Response-Plan.pdf","chronic wasting disease response plan","A_D_grey"
"8","http://mason.gmu.edu/~klargen/111lectwildlifemanagementderwin.htm","wildlife management - george mason university","A_D_grey"
"9","http://www.sfrc.ufl.edu/Extension/florida_forestry_information/forest_management/wildlife_management.html","wildlife management - other forest values - forest ...","A_D_grey"
"10","https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0002a.pdf","a checklist vegetation of the kerr wildlife management ...","A_D_grey"
"11","https://www.industry.nsw.gov.au/__data/assets/pdf_file/0003/51285/Oil-and-chemical-spill-wildlife-response-notification-and-command-structure-policy.pdf","oil and chemical spill wildlife response - notification ...","A_D_grey"
"12","https://comptroller.texas.gov/taxes/property-tax/docs/96-354.pdf","qualification of agricultural land in wildlife management use","A_D_grey"
"13","http://www.911bugbusters.com/","911bugbusters","A_D_grey"
"14","http://fwp.mt.gov/fishAndWildlife/management/managementPrinciples.html","principles of wildlife management - montana fish","A_D_grey"
"15","https://www.cabi.org/isc/abstract/20153216412","dimensions of local public attitudes towards invasive species management in protected areas.","A_D_grey"
"16","https://www.cabi.org/isc/abstract/20173210946","perception matrices: an adaptation of repertory grid technique.","A_D_grey"
"17","https://www.cabi.org/isc/abstract/20153389469","hawkweed eradication from nsw: could this be 'the first'?","A_D_grey"
"18","https://www.cabi.org/isc/abstract/20173022108","traditional mapuche ecological knowledge in patagonia, argentina: fishes and other living beings inhabiting continental waters, as a reflection of processes of change.","A_D_grey"
"19","https://www.cabi.org/isc/abstract/20143066403","understanding attitudes toward the control of nonnative wild and feral mammals: similarities and differences in the opinions of the general public, animal protectionists, and conservationists in new zealand (aotearoa).","A_D_grey"
"20","https://www.cabi.org/isc/abstract/20173307342","herbicide efficacy for aquatic alternanthera philoxeroides management in an early stage of invasion: integrating above-ground biomass, below-ground biomass and viable stem fragmentation.","A_D_grey"
"21","https://www.cabi.org/isc/abstract/20153020180","response of wedge-tailed shearwaters to eradication of black ratsfrom moku'auia island after reinvasion.","A_D_grey"
"22","https://www.cabi.org/isc/abstract/20123382123","from the horse's mouth: perceptions of the management of the 2007 equine influenza outbreak in australia.","A_D_grey"
"23","https://www.cabi.org/isc/abstract/20143186399","biological invasions: what's worth fighting and what can be won?","A_D_grey"
"24","https://www.cabi.org/isc/abstract/20173100956","barking up the right tree: understanding local attitudes towards dogs in villages surrounding ranomafana national park, madagascar can benefit applied conservation.","A_D_grey"
"25","https://www.cabi.org/isc/abstract/20173118826","optimizing confirmation of invasive species eradication with rapid eradication assessment.","A_D_grey"
"26","https://www.cabi.org/isc/abstract/20173182523","management implications of bird responses to variation in non-native/native tree ratios within central european forest stands.","A_D_grey"
