"","Authors","Title","Year","Source","grp"
"3","DA Ratcliffe","conservation and the collector",1967,"The Biotic Effects of Public Pressures on the …","A_D_primary"
"14","YC Gilbert","the college of african wildlife management: its role in conservation education",1968,"East African Agricultural and Forestry Journal","A_D_primary"
"38","W Tilt, R Norris, AS Eno","wolf recovery in the northern rocky mountains",1987,"","A_D_primary"
"58","ÖE Can","better to be a beast than evil: human–wolf interaction and putting central asia on the map",2014,"Displaced Heritage: Responses to Disaster, Trauma, …","A_D_primary"
"59","AJ Noss","the impacts of baaka net hunting on rainforest wildlife",1998,"Biological conservation","A_D_primary"
"66","T Hovardas, GP Stamou","structural and narrative reconstruction of rural residents' representations of 'nature','wildlife', and 'landscape'",2006,"Biodiversity & Conservation","A_D_primary"
"67","D Western, J Waithaka","policies for reducing human-wildlife conflict: a kenya case study",2005,"CONSERVATION BIOLOGY SERIES- …","A_D_primary"
"70","M Pohja-Mykrä, T Vuorisalo, S Mykrä","hunting bounties as a key measure of historical wildlife management and game conservation: finnish bounty schemes 1647–1975",2005,"Oryx","A_D_primary"
"73","KC Petersen","battle for ice harbor dam: fish, navigation, and the lower snake river, 1948-1962",1995,"The Pacific Northwest Quarterly","A_D_primary"
"75","JM Dunlop","a hair of the dog.",1978,"JR Coll Gen Pract","A_D_primary"
"87","J Sandlos","from the outside looking in: aesthetics, politics, and wildlife conservation in the canadian north",2001,"Environmental History","A_D_primary"
"90","JT Bruskotter, RS Wilson","determining where the wild things will be: using psychological theory to find tolerance for large carnivores",2014,"Conservation Letters","A_D_primary"
"93","JA Cortes-Vazquez, M Zedalis","identity and native species conservation: similar historical ecologies from idaho to spain",2013,"Human Ecology","A_D_primary"
"97","JW Thomas, LD Mech, WB Kessler","mitakuye oyasin: stimulating hearts and minds in albuquerque",1995,"Wildlife Society Bulletin (1973-2006)","A_D_primary"
"102","D Fraser","the culture and agriculture of animal production",2001,"Advances in Pork Production","A_D_primary"
"103","ACS Straube","the role of wildlife education in conservation biology: can awareness change localsattitudes towards the endangered african wild dog (lycaon pictus)?",2013,"","A_D_primary"
"129","SK Niraj, V Dayal, PR Krausman","applying methodological pluralism to wildlife and the economy",2010,"Ecological Economics","A_D_primary"
"147","RH Lamprey, A Mugisha","the re-introduction of recreational hunting in uganda",2009,"Recreational hunting, conservation …","A_D_primary"
"149","RP Reading, TW Clark, L McCain, ...","black-tailed prairie dog conservation: a new approach for a 21st century challenge",2002,"Endangered Species …","A_D_primary"
"152","U Ali, RA Minhas, MS Awan, KB Ahmed, ...","human-grey wolf (canis lupus linnaeus, 1758) conflict in shounther valley, district neelum, azad jammu and kashmir, pakistan.",2016,"Pakistan Journal of …","A_D_primary"
"157","CM Roberts","our shifting perspectives on the oceans",2003,"Oryx","A_D_primary"
"164","RN Denney","relationships of wildlife to livestock on some developed ranches on the laikipia plateau, kenya",1972,"Journal of Range Management","A_D_primary"
"166","MG Hornocker","7 conserving the cats, cougar management as a model: a review",2007,"Wildlife Science: Linking Ecological Theory and …","A_D_primary"
"168","JA Shelton","electronic green journal-isbn: 1076-7975, issue# 9",0,"","A_D_primary"
"170","EA Usang","strategies for green literacy",1992,"Convergence","A_D_primary"
"183","J ?ervený, M Ježek, M Holá, M Zikmund, T Kušta, ...","daily activity rhythm and habitat use of the semi-free european bison herd during the growing season/denní aktivita a využití prost?edí zubrem evropským (bison …",2014,"Forestry …","A_D_primary"
"184","K Jones","from big bad wolf to ecological hero: canis lupus and the culture (s) of nature in the american–canadian west",2010,"American Review of Canadian Studies","A_D_primary"
"190","JE Jackson, EH Bucher, JM Chani","capture of blue-fronted amazons and hunting of vizcachas and tegu lizards in argentina",1996,"… of uses of wildlife species- …","A_D_primary"
"191","JA Vucetich, MP Nelson","wolf hunting and the ethics of predator control",2014,"The Oxford handbook of animal studies","A_D_primary"
"209","B Hampton","shark of the plains: early western encounters with wolves",1996,"Montana: The Magazine of Western History","A_D_primary"
"210","N Rosenberg","technology and the environment: an economic exploration",1971,"Technology and culture","A_D_primary"
"222","WP Taylor","what is ecology and what good is it?",1936,"Ecology","A_D_primary"
"225","WD Newmark","selected contributions of aldo leopold to conservation biology",1999,"J. Land Resources & Envtl. L.","A_D_primary"
"227","J Lutz Warren","weaving a wider net for conservation: aldo leopold's water ethic",2010,"Organization & Environment","A_D_primary"
"228","S Ghosal, M Ahmed","22 pastoralism and wetland resources in ladakh's changthang plateau",2017,"Bird Migration across the Himalayas: …","A_D_primary"
"230","I Loefler","of indigenous people and their health",2007,"Journal of the Royal Society of Medicine","A_D_primary"
"233","OE Can","status, conservation and management of large carnivores in turkey",2004,"Strasbourg, France: Council of Europe. T-PVS/Inf (2004 …","A_D_primary"
"244","M Cioc","hunting, agriculture, and the quest for international wildlife conservation during the early twentieth century",2009,"Cioc, The Game of Conservation","A_D_primary"
"252","JB Callicott","the centennial return of stewardship to the ecological society of america",2015,"Earth Stewardship","A_D_primary"
"253","V RACHEVA, D ZLATANOVA, D PESHEV","first results of the project for studying the biology and ecology of badgers (meles meles l.) in bulgaria",0,"mes.org.mk","A_D_primary"
"263","D Storey","against all odds. rural community in the information age: jc allen and da dillman. 238 pp., 1994, rural studies series, westview press, boulder, …",1996,"","A_D_primary"
"268","G Wandesforde-Smith 1, NSJ Watts 2, ...","wildlife conservation and protected areas: darwin, marx, and modern science in the search for patterns that connect",2010,"… Wildlife Law & Policy","A_D_primary"
"277","HA Herzog","biology, culture, and the origins of pet-keeping",2014,"Animal Behavior and Cognition","A_D_primary"
"283","BL Walker","meiji modernization, scientific agriculture, and the destruction of japan's hokkaido wolf",2004,"Environmental History","A_D_primary"
"285","L Lohmann","green orientalism",1993,"ECOLOGIST-LONDON AND WADEBRIDGE …","A_D_primary"
"286","DP Mallon, SC Kingswood","regional action plan for antelope conservation",2001,"Antelopes Part 4: North Africa, The …","A_D_primary"
"293","GB Baker, RB Cunningham, W Murray","are red-footed boobies sula sula at risk from harvesting by humans on cocos (keeling) islands, indian ocean?",2004,"Biological Conservation","A_D_primary"
"295","J Sheail, JR Treweek, JO Mountford","the uk transition from nature preservation to 'creative conservation'",1997,"Environmental Conservation","A_D_primary"
"304","JE Swenson, M Schneider, A Zedrosser, A Söderberg, ...","challenges of managing a european brown bear population; lessons from sweden, 1943–2013",2017,"Wildlife Biology","A_D_primary"
"309","E Johnson","animal liberation versus the land ethic",1981,"Environmental Ethics","A_D_primary"
"310","R Pierotti, D Wildcat","traditional ecological knowledge: the third alternative (commentary)",2000,"Ecological applications","A_D_primary"
"315","SOS Fumble","starfish kill",0,"","A_D_primary"
"317","RK ARNOLD","the environment-where do we stand?",0,"journals.uair.arizona.edu","A_D_primary"
"324","BS TAIWO","jer",0,"","A_D_primary"
"338","LD Mech","where can wolves live and how can we live with them?",2017,"Biological Conservation","A_D_primary"
"340","DA Kwalimwa","optimization of growth conditions of bacillus thuringiensis isolates from various sources in kenya and toxicity assays of their delta-endotoxin against chilo …",2013,"","A_D_primary"
"363","GM Beal, JM Bohlen, HG Lingren","behavior studies related to pesticides: agricultural chemicals and iowa farmers",1966,"","A_D_primary"
"370","BE Holsendorf","the rat and ratproof construction of buildings. with specifications, drawings, and photographs, and a model ratproofing ordinance.",1937,"Public Health Reports","A_D_primary"
"372","D Stenberg","chekhov's uncle vanya translated on 42nd street",2002,"Literature/Film Quarterly","A_D_primary"
