"","Link","Anchor Text","grp"
"1","https://en.wikipedia.org/wiki/Wildlife_management","wildlife management - wikipedia","A_T_grey"
"2","https://wildlifemanagement.institute/","wildlife management institute","A_T_grey"
"3","https://www.nbcenvironment.co.uk/bird-control-services/bird-deterrents/falconry-response/","falconry bird control - nbc environment","A_T_grey"
"4","http://www.hillcountryalliance.org/wp-content/uploads/2014/06/wildlife_tax_valuation_from_extension.pdf","wildlife management and property tax valuation in texas ...","A_T_grey"
"5","http://www.contegoresponse.com/","pest control | bird control | contego response","A_T_grey"
"6","http://www.vtfishandwildlife.com/common/pages/DisplayFile.aspx?itemId=111592","public opinion on wildlife species management in vermont","A_T_grey"
"7","https://tpwd.texas.gov/publications/pwdpubs/media/pwd_bk_w7000_0788.pdf","wildlife management activities and practices","A_T_grey"
"8","http://www.nature.com/scitable/knowledge/library/intrinsic-value-ecology-and-conservation-25815400","intrinsic value","A_T_grey"
"9","https://hdru.dnr.cornell.edu/publications","publications | human dimensions research unit","A_T_grey"
"10","https://gov.nu.ca/environment/information/wildlife-management","wildlife management | government of nunavut","A_T_grey"
"11","http://www.wildlife.ca.gov/grants","grant opportunities","A_T_grey"
"12","http://www.sawma.co.za/","sawma - the southern african wildlife management ...","A_T_grey"
"13","https://jhupbooks.press.jhu.edu/content/wildlife-management-and-conservation","wildlife management and conservation - books","A_T_grey"
"14","http://www.wildlifetrusts.org/","the wildlife trusts","A_T_grey"
"15","http://www.esf.edu/efb/fishwild/","fish and wildlife biology & management","A_T_grey"
"16","https://www.cabi.org/isc/abstract/20133413292","exploring public perception of non-native species from a visions of nature perspective.","A_T_grey"
"17","https://www.cabi.org/isc/abstract/20123200919","factor influencing public preference for raccoon eradication plan in kanagawa, japan.","A_T_grey"
"18","https://www.cabi.org/isc/abstract/20173271643","assessing landowners' attitudes toward wild hogs and support for control options.","A_T_grey"
"19","https://www.cabi.org/isc/abstract/20153029503","a comparison of attitudes towards introduced wildlife in new zealand in 1994 and 2012.","A_T_grey"
"20","https://www.cabi.org/isc/abstract/20113061984","an evaluation of feral cat management options using a decision analysis network.","A_T_grey"
"21","https://www.cabi.org/isc/abstract/20133100463","understanding the threats posed by non-native species: public vs. conservation managers.","A_T_grey"
"22","https://www.cabi.org/isc/abstract/20123018925","plans to eradicate invasive mammals on an island inhabited by humans and domestic animals (corvo, azores, portugal).","A_T_grey"
"23","https://www.cabi.org/isc/abstract/20133161485","what determines the acceptability of wildlife control methods? a case of feral pig management in the wet tropics world heritage area, australia.","A_T_grey"
"24","https://www.cabi.org/isc/abstract/20123347481","factors influencing individual management preferences for facilitating adaptation to climate change within the national wildlife refuge system.","A_T_grey"
"25","https://www.cabi.org/isc/abstract/20153205492","effect of travel distance, home range, and bait on the management of small indian mongooses, <i xmlns=""http://www.w3.org/1999/xhtml herpestes auropunctatus</i>.","A_T_grey"
"26","https://www.cabi.org/isc/abstract/20133143963","invasion status of asiatic red-bellied squirrels in argentina.","A_T_grey"
"27","https://www.cabi.org/isc/abstract/20163028599","literature review and meta-analysis of vegetation responses to goat and european rabbit eradications on islands.","A_T_grey"
"28","https://www.cabi.org/isc/abstract/20123344701","private forest owners and invasive plants: risk perception and management.","A_T_grey"
"29","http://www.tandfonline.com/doi/abs/10.1080/10871209.2016.1116029","pet ownership - attitude towards pets and support for wildlife","A_T_grey"
"30","https://link.springer.com/article/10.1007/s10980-016-0463-x","bird response to future climate and forest management focused on ...","A_T_grey"
"31","http://www.earthisland.org/journal/index.php/eij/article/hunters_value_wildlife/","hunters value wildlife | earth island journal | earth island institute","A_T_grey"
"32","https://link.springer.com/chapter/10.1007/978-94-011-2868-1_23","values, problems and methodologies in managing overabundant wildlife populations","A_T_grey"
"33","http://www.vet-wildlifemanagement.org.uk/index.php?option=com_content&task=view&id=30&Itemid=32","veterinary association for wildlife management - a veterinary opinion ...","A_T_grey"
"34","https://www.nbcenvironment.co.uk/","nbc environment | bird  ecology & pest control services","A_T_grey"
"35","http://www.fao.org/forestry/wildlife-partnership/en/","collaborative partnership on sustainable wildlife management","A_T_grey"
"36","https://www.allaboutbirds.org/analysis-the-economic-value-of-birds/","analysis: the economic value of birds | all about birds","A_T_grey"
"37","https://www.dfg.ca.gov/ospr/","office of spill prevention and response","A_T_grey"
"38","http://www.bioone.org/doi/pdf/10.3375/043.034.0103","vegetative and bird community response to management ... - bioone","A_T_grey"
"39","http://www.uvm.edu/rsenr/wfb175/Manfredo%20Teel%20%26%20Bright%202003.pdf","why are public values toward wildlife changing?","A_T_grey"
"40","http://www.oiledwildlife.eu/response/response-options/management-affected-live-animals","management of affected live animals | oiledwildlife.eu","A_T_grey"
"41","https://source.colostate.edu/americans-tend-to-think-about-wildlife-like-their-ancestors-did/","americans tend to think about wildlife like their ancestors did ...","A_T_grey"
"42","http://myfwc.com/contact/nuisance-wildlife/","fwc - nuisance wildlife","A_T_grey"
"43","http://articles.extension.org/wildlife_damage_management","wildlife damage management - extension","A_T_grey"
"44","https://www.forestry.gov.uk/pdf/FCRP020.pdf/$file/FCRP020.pdf","recreational use of forests and disturbance of wildlife - forestry ...","A_T_grey"
"45","https://www.lantra.co.uk/careers/game-and-wildlife-management","game and wildlife management | lantra","A_T_grey"
"46","http://sciencenordic.com/opinion-increasing-border-security-fences-are-lethal-problem-wildlife","opinion: increasing border security fences are a lethal problem for ...","A_T_grey"
"47","https://www.cdc.gov/flu/avianflu/what-cdc-does.htm","what cdc does about bird flu - centers for disease control and ...","A_T_grey"
"48","http://rspb.royalsocietypublishing.org/content/280/1750/20122131","bird traits and response to land-use | proceedings of the royal society ...","A_T_grey"
"49","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3Anusl.cz%2Foai%3Ainvenio.nusl.cz%3A320513&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D10","mapování a analýza volne žijících živocichu v cr mapping and analysis of illegal poisoning of wildlife in the czech republic","A_T_grey"
"50","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AADTP%2F220740&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%2A%2BOR%2Bcontrol%2A%2BOR%2Bcull%2A%2BOR%2Beradicat%2A%2BOR%2Bexterminat%2A%2529%2BAND%2B%2528attitude%2A%2BOR%2Bvalue%2A%2BOR%2Bperception%2A%2BOR%2Bresponse%2A%2BOR%2Breaction%2A%2BOR%2Bopinion%2A%2BOR%2Baccept%2A%2BOR%2Bbelief%2A%2BOR%2Bpreference%2A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529","the first reintroduction of the western barred bandicoot (perameles bougainville) to mainland australia.","A_T_grey"
"51","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3Abl.uk%2Foai%3Aethos.bl.uk%3A571664&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%2A%2BOR%2Bcontrol%2A%2BOR%2Bcull%2A%2BOR%2Beradicat%2A%2BOR%2Bexterminat%2A%2529%2BAND%2B%2528attitude%2A%2BOR%2Bvalue%2A%2BOR%2Bperception%2A%2BOR%2Bresponse%2A%2BOR%2Breaction%2A%2BOR%2Bopinion%2A%2BOR%2Baccept%2A%2BOR%2Bbelief%2A%2BOR%2Bpreference%2A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529","amphibian diversity conservation in a changing world : a view from mexico","A_T_grey"
"52","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AMSSTATE%2Foai%3Alibrary.msstate.edu%3Aetd-09122014-131018&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%2A%2BOR%2Bcontrol%2A%2BOR%2Bcull%2A%2BOR%2Beradicat%2A%2BOR%2Bexterminat%2A%2529%2BAND%2B%2528attitude%2A%2BOR%2Bvalue%2A%2BOR%2Bperception%2A%2BOR%2Bresponse%2A%2BOR%2Breaction%2A%2BOR%2Bopinion%2A%2BOR%2Baccept%2A%2BOR%2Bbelief%2A%2BOR%2Bpreference%2A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529","effects of intercropping switchgrass in loblolly pine plantations on bird communities","A_T_grey"
"53","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AUPSALLA1%2Foai%3ADiVA.org%3Antnu-15935&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D20","effects of native and introduced cervids on small mammals and birds","A_T_grey"
"54","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3ALACETR%2Foai%3Acollectionscanada.gc.ca%3AMWU.1993%2F22241&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D30","impact of fire in the taiga of southeastern manitoba on wildlife  and value to resource users","A_T_grey"
"55","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3AMANITOBA%2Foai%3Amspace.lib.umanitoba.ca%3A1993%2F22241&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D30","impact of fire in the taiga of southeastern manitoba on wildlife vegetation","A_T_grey"
"56","http://search.ndltd.org/show.php?id=oai%3Aunion.ndltd.org%3Anetd.ac.za%2Foai%3Aunion.ndltd.org%3Aufs%2Foai%3Aetd.uovs.ac.za%3Aetd-08192014-130619&back=http%3A%2F%2Fsearch.ndltd.org%2Fsearch.php%3Fq%3D%2528manage%252A%2BOR%2Bcontrol%252A%2BOR%2Bcull%252A%2BOR%2Beradicat%252A%2BOR%2Bexterminat%252A%2529%2BAND%2B%2528attitude%252A%2BOR%2Bvalue%252A%2BOR%2Bperception%252A%2BOR%2Bresponse%252A%2BOR%2Breaction%252A%2BOR%2Bopinion%252A%2BOR%2Baccept%252A%2BOR%2Bbelief%252A%2BOR%2Bpreference%252A%2529%2BAND%2B%2528mammal%2BOR%2Bbird%2BOR%2Breptile%2BOR%2Bamphibian%2BOR%2Bvertebrate%2BOR%2Bwildlife%2529%26start%3D30","the use of ecosystem parameters in predicting the risk of aircraft-wildlife collisions at namibian airports","A_T_grey"
