"","Authors","Title","Year","Source","grp"
"11","P Prokop, J Fan?ovi?ová","perceived body condition is associated with fear of a large carnivore predator in humans",2010,"Annales Zoologici Fennici","A_T_primary"
"15","M Black","public attitudes toward mountain lions (felis concolor) and their implications for education about the eastern panther",1996,"Proceedings of the Eastern Cougar Conference","A_T_primary"
"19","J Sheail","the management of an animal population: changing attitudes towards the wild rabbit in britain",1991,"Journal of Environmental Management","A_T_primary"
"27","HC Bryant","the national park service and wildlife management",2001,"Changing tracks: predators and politics in Mt. …","A_T_primary"
"29","J Bakels","perceptions of wildlife among the kerinci of sumatra",2003,"Wildlife in Asia: Cultural Perspectives","A_T_primary"
"33","M Rangarajan","the war against 'dangerous beasts' in colonial india",2003,"Wildlife in Asia: Cultural Perspectives","A_T_primary"
"41","D Che, T Cable","the two larrys of logan county: a prairie dog paradox",2015,"CAUTHE 2015: Rising Tides and Sea …","A_T_primary"
"42","CR Bavin","trends and new directions in federal conservation law enforcement",1976,"… of the... North American Wildlife and …","A_T_primary"
"45","L Morse","scampering in the city: examining the long-term ecological and social viability of black",0,"urizen-geography.nsm.du.edu","A_T_primary"
"51","RM Mengel","beauty and the beast: natural history and art",1980,"","A_T_primary"
"52","K Dorsey","scientists, citizens, and statesmen: us-canadian wildlife protection treaties in the progressive era",1995,"Diplomatic History","A_T_primary"
"53","L Bal?iauskas, M Kazlauskas","wolf numbers and public acceptance in different regions of lithuania",2008,"Acta Biologica Universitatis Daugavpiliensis","A_T_primary"
"74","EA Tsi, N Ajaga, G Wiegleb, M Mühlenberg","the willingness to pay (wtp) for the conservation of wild animals: case of the derby eland (taurotragus derbianus gigas) and the african wild dog (lycaon pictus) in …",2008,"African Journal of …","A_T_primary"
"78","MA Nie","wolf recovery and management as value-based political conflict",2002,"Ethics, place & environment","A_T_primary"
"83","L Roach","wolf persecution",0,"people.umass.edu","A_T_primary"
"104","B Dahle, K Wallin, G Cederlund, IL Persson, ...","predation on adult moose alces alces by european brown bears ursus arctos",2013,"Wildlife biology","A_T_primary"
"114","A Hall-Martin","elephant survivors",1980,"Oryx","A_T_primary"
"118","G Wuerthner","new west topics",0,"","A_T_primary"
"121","DE Brown","the wolf in the southwest: the making of an endangered species",0,"Cambridge Univ Press","A_T_primary"
"122","JR Moreira, MS Pinheiro","capybara production in brazil: captive breeding or sustainable management?",2013,"Capybara","A_T_primary"
"126","J Allaway, B Mallott","ancsa unrealized: our lives are not measured in dollars",2005,"J. Land Resources & Envtl. L.","A_T_primary"
"143","JA Kath","the unimin corporation magazine mine: a novel indiana bat (myotis sodalis) hibernaculum in southern illinois",2002,"Transactions of the Illinois State academy of Science","A_T_primary"
"154","V DAYAL, N Enclave","system framework, historical literature review, and statistical analysis of wildlife and the econmy",2009,"SCHOOL OF NATURAL …","A_T_primary"
"167","P Prokop, M Usak, M Erdogan","good predators in bad stories: crosscultural comparison of children's attitudes towards wolves.",2011,"Journal of Baltic Science Education","A_T_primary"
"172","PH Raven","ethics and attitudes",1976,"Conservation of threatened plants","A_T_primary"
"173","MP Nelson, JA Vucetich, RO Peterson, ...","the isle royale wolf–moose project (1958-present) and the wonder of long-term ecological research",2011,"Endeavour","A_T_primary"
"174","G Luscombe, R Scott","creative conservation",2010,"The Routledge Handbook of Urban …","A_T_primary"
"175","JA Shelton","shooting sheep to save sagebrush: the violence of habitat restoration",1998,"Electronic Green Journal","A_T_primary"
"204","KB Aubry, KS Mckelvey, JP Copeland","distribution and broadscale habitat relations of the wolverine in the contiguous united states",2007,"Journal of Wildlife Management","A_T_primary"
"206","BPYH Lee, S Chan","box 12.2 lessons and challenges in the management of long-tailed macaques in urban singapore",2011,"Monkeys on the edge: Ecology and …","A_T_primary"
"208","A Kulkarni","biodiversity and sustainable development: a critical analysis",2012,"Int J Sci Eng Res","A_T_primary"
"213","D Felgenhauer, P Hudack, A Johnson, L Slivinski","exploring geospatial trends in urban attitudes toward wolves in wisconsin and implications for future management",2010,"","A_T_primary"
"215","M Weisiger","the debate over el lobo: can historians make a difference?",2004,"The Public Historian","A_T_primary"
"218","CB Anderson","reasons for and consequences of aquatic mammal introductions north american beavers",2011,"Encyclopedia of Biological Invasions","A_T_primary"
"221","VR Mandala","the raj and the paradoxes of wildlife conservation: british attitudes and expediencies",2015,"The Historical Journal","A_T_primary"
"231","EP Pisterº","gists and administrators found themselves searching frantically for values with which to defend their trust against the hard dollar fig-ures of the exploiter. …",0,"REAT BASIN NATURALIST MEMOI","A_T_primary"
"240","J Weir","the sweetwater rattlesnake round?up: a case study in environmental ethics",1992,"Conservation biology","A_T_primary"
"246","KJ Hockings","living at the interface: human–chimpanzee competition, coexistence and conflict in africa",2009,"Interaction Studies","A_T_primary"
"249","AJ Berger","hawaiian birds 1972",1972,"The Wilson Bulletin","A_T_primary"
"251","MM Holland","wetlands ecology",1987,"","A_T_primary"
"273","HD Thoreau, W Stegner","island civilization",2012,"Life on the Brink: Environmentalists …","A_T_primary"
"276","D Attenborough","siren song of the tropics singly and collectively, three of britain's greatest naturalists, charles darwin, alfred russel wallace and–a century later–sir david …",0,"JSTOR","A_T_primary"
"278","KM Sloan","wiyot and yurok tribal cultural resources information for clam and moonstone beach county parks master plan",2005,"… Program, Cultural Resources Division. Retrieved April","A_T_primary"
"279","P Daniel","a rogue bureaucracy: the usda fire ant campaign of the late 1950s",1990,"Agricultural History","A_T_primary"
"280","G Hertzler","the importance of modeling the age structure of elephant populations",0,"researchgate.net","A_T_primary"
"281","MR Conover","resolving human-wildlife conflicts: the science of wildlife damage management",2001,"","A_T_primary"
"287","T Huber","the changing role of hunting and wildlife in pastoral communities of northern tibet",2012,"Pastoral practices in High Asia","A_T_primary"
"289","AS Gunn","why should we care about rare species?",1980,"Environmental Ethics","A_T_primary"
"294","B Taylor, A Britton","like this",1994,"Poetry","A_T_primary"
