"","Link","Anchor Text","grp"
"1","http://www.bearbiology.com/fileadmin/tpl/Downloads/URSUS/Vol_10/Bath_Vol_10.pdf","the role of human dimensions in wildlife resource research ...","An_D_grey"
"2","https://www.rainbird.com/landscape/products/valves/index.htm","rain bird landscape irrigation valves","An_D_grey"
"3","http://www.tandfonline.com/doi/abs/10.1080/10871200902839316","human dimensions of wildlife - taylor & francis","An_D_grey"
"4","http://acaai.org/allergies/types/food-allergies/types-food-allergy/meat-allergy","meat allergy | causes symptoms & treatment | acaai public <U+0085>","An_D_grey"
"5","http://www.fao.org/docrep/012/i1048e/i1048e04.pdf","3. human-wildlife conflict management","An_D_grey"
"6","http://www.deq.virginia.gov/Portals/0/DEQ/CoastalZoneManagement/task49-08.pdf","virginia marine mammal and sea turtle stranding response ...","An_D_grey"
"7","http://dpipwe.tas.gov.au/wildlife-management/marine-conservation-program/marine-mammal-incident-response","marine mammal incident response - department of primary ...","An_D_grey"
"8","https://www.ready.gov/business/implementation/emergency","emergency response plan | ready.gov","An_D_grey"
"9","http://www.ndow.org/uploadedFiles/ndoworg/Content/public_documents/Wildlife_Education/Publications/bighorn_management_plan.pdf","bighorn sheep management plan - nevada department of wildlife","An_D_grey"
"10","http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1118&context=icwdmbirdcontrol","the effect of intense light on bird behavior and ... - …","An_D_grey"
"11","http://www.dec.ny.gov/outdoor/6403.html","deer management permits (dmps) - nys dept. of ...","An_D_grey"
"12","https://cmsdata.iucn.org/downloads/human_wildlife_policy.pdf","national policy on human-wildlife conflict management …","An_D_grey"
"13","https://www.dpaw.wa.gov.au/management/marine/marine-wildlife/marine-wildlife-response?showall=&start=1","marine wildlife response - department of parks and wildlife","An_D_grey"
"14","https://dese.mo.gov/sites/default/files/aged-instructional-framework-Fish&WildlifeMngmnt.pdf","fish & wildlife management instructional framework","An_D_grey"
"15","http://www.apu.apus.edu/lp2/environmental-science/bachelors-fish-and-wildlife.htm","environmental science degrees and fish and wildlife ...","An_D_grey"
"16","https://www.cabi.org/isc/abstract/20173019869","are you aware of what you are doing? asking italian hunters about an invasive alien species they are introducing.","An_D_grey"
"17","https://www.cabi.org/isc/abstract/20123289454","public perceptions of domestic cats and preferences for feral cat management in the southeastern united states.","An_D_grey"
"18","https://www.cabi.org/isc/abstract/20103249308","public perceptions of feral cats within an urban conservancy on a campus of the university of kwazulu-natal.","An_D_grey"
