"","Authors","Title","Year","Source","grp"
"5","R Rajan","india's wildlife history/people, parks and wildlife: towards co-existence",2001,"Environmental History","An_D_primary"
"6","SW Wang, JP Lassoie, PD Curtis","farmer attitudes towards conservation in jigme singye wangchuck national park, bhutan",2006,"Environmental Conservation","An_D_primary"
"9","L Llewellyn","who speaks for the timber wolf",1978,"43rd Trans. N. Am. Wildl. Nat. Resour. Conf","An_D_primary"
"20","DR Parsons",""" green fire"" returns to the southwest: reintroduction of the mexican wolf",1998,"Wildlife Society Bulletin","An_D_primary"
"26","S Harris, G Saunders","the control of canid populations",1993,"Symposia of the Zoological Society of London","An_D_primary"
"40","M Rangarajan","the raj and the natural world",1875,"The Campaign against Carnivores in Colonial India","An_D_primary"
"48","J Adamson","el lobo: readings on the mexican gray wolf",2007,"","An_D_primary"
"50","AH Macpherson","commentary: wildlife conservation and canada's north",1981,"Arctic","An_D_primary"
"60","M Hosoda, T Aoi, S Yamamoto","differing perceptions of japanese black bears in urban and rural japan",2009,"Journal of Forest Planning","An_D_primary"
"64","C Molloy","hunted: recreational killing",2011,"Popular Media and Animals","An_D_primary"
"79","D Mech","returning the wolf to yellowstone",1991,"The Greater Yellowstone Ecosystem","An_D_primary"
"81","J Lockie","wildlife and land use in highland scotland",1973,"Oryx","An_D_primary"
"84","JT Helfrich","introduction",2002,"","An_D_primary"
"86","Q Martins, N Martins","leopards of the cape: conservation and conservation concerns",2006,"International journal of environmental studies","An_D_primary"
"98","E Jongman, G Karlen","trap, neuter and release programs for cats: a literature review on an alternative control method of feral cats in defined urban areas",1996,"Urban Animal Management Conference Proceedings","An_D_primary"
"100","T Sangay, K Vernes","human–wildlife conflict in the kingdom of bhutan: patterns of livestock predation by large mammalian carnivores",2008,"Biological Conservation","An_D_primary"
"101","JA Pritchard, DM Debinski, B Olechnowski, ...","the landscape of paul errington's work",2006,"Wildlife Society …","An_D_primary"
"109","J Bakels","farming the forest edge",2004,"Wildlife in Asia: cultural perspectives","An_D_primary"
"111","PS Troxell, KA Berg, H Jaycox, AL Strauss, ...","education and outreach efforts in support of wolf conservation in the great lakes region",2009,"Recovery of Gray …","An_D_primary"
"115","P Singer","animal liberation",1973,"Animal Rights","An_D_primary"
"116","B Zimmermann, P Wabakken, ...","human-carnivore interactions in norway: how does the re-appearance of large carnivores affect people's attitudes and levels of fear",2001,"Forest Snow and …","An_D_primary"
"119","M Ball","a comparative analysis of predator management techniques of north american wolf species and potential applications in michigan",2014,"","An_D_primary"
"123","M Crawford","conservation by utilisation",1972,"Oryx","An_D_primary"
"124","DW Macdonald","the wolf in the southwest: the making of an endangered speciesbrownd. e.,(editor) university of arizona press, 1983,£ 19· 95 (hardback),£ 9· 95 ( …",1984,"Oryx","An_D_primary"
"132","SW Breck, BM Kluever, M Panasci, J Oakleaf, ...","domestic calf mortality and producer detection rates in the mexican wolf recovery area: implications for livestock management and carnivore compensation schemes",2011,"Biological …","An_D_primary"
