"","Link","Anchor Text","grp"
"1","http://wdfw.wa.gov/publications/00433/hunt_populationreport.pdf","public opinion on hunting and wildlife management …","An_T_grey"
"2","http://jncc.defra.gov.uk/pdf/pubs93_Coppicedwoodlands.pdf","coppiced woodlands: their management for wildlife - jncc","An_T_grey"
"3","http://files.dnr.state.mn.us/fish_wildlife/wildlife/disease/cwd/cwdresponseplan.pdf","cwd response plan - minnesota department of natural resources","An_T_grey"
"4","http://www.merckvetmanual.com/exotic-and-laboratory-animals/reptiles/management-of-reptiles","management of reptiles - exotic and laboratory animals ...","An_T_grey"
"5","http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1084&context=icwdm_usdanwrc","emergency wildlife management response to protect evidence ...","An_T_grey"
"6","https://www.aphis.usda.gov/animal_health/emergency_management/downloads/ed_materials/wm_authorities_presentation.pptx","wildlife management and vector control for an fad response ...","An_T_grey"
"7","http://idahoptv.org/sciencetrek/topics/wildlife/facts.cfm","wildlife management: facts (science trek: idaho public ...","An_T_grey"
"8","https://iwc.int/entanglement-response-network","global whale entanglement response network - iwc","An_T_grey"
"9","https://texnat.tamu.edu/library/symposia/juniper-ecology-and-management/cedar-through-the-eyes-of-wildlife/","cedar through the eyes of wildlife | texas natural ...","An_T_grey"
"10","http://www.esf.edu/efb/wildlife/","wildlife science","An_T_grey"
"11","http://www.bird.ca/","home : bird construction","An_T_grey"
"12","http://www.wildlifetrusts.org/badger-cull","the badger cull and btb | the wildlife trusts","An_T_grey"
"13","http://ecosystems.psu.edu/youth/sftrc/lesson-plans/wildlife","wildlife lesson plans — department of ecosystem science ...","An_T_grey"
"14","http://www.sciencedirect.com/science/article/pii/S1617138114000363","predictive potential of wildlife value orientations for ...","An_T_grey"
"15","http://wtcnm.com/about-us/management/","management · wildlife trading company","An_T_grey"
"16","https://texnat.tamu.edu/library/symposia/brush-sculptors-innovations-for-tailoring-brushy-rangelands-to-enhance-wildlife-habitat-and-recreational-value/brush-management-and-its-impact-on-land-value/","brush management and its impact on land value | texas ...","An_T_grey"
"17","https://hdru.dnr.cornell.edu/publications/environmental-management/wildlife","wildlife resources management and policy | human ...","An_T_grey"
