"","Authors","Title","Year","Source","grp"
"4","ME Osakwe","the role of animal poaching in nigerian wildlife conservation",1990,"Development and Management of Forest Resources …","An_T_primary"
"7","VM Fogleman","american attitudes towards wolves: a history of misperception",1989,"Environmental Review: ER","An_T_primary"
"10","KA Berg","historical attitudes and images and the implications on carnivore survival",2001,"Endangered species update","An_T_primary"
"12","B Hornadge","if it moves, shoot it: a squint at some australian attitudes towards the kangaroo",1972,"","An_T_primary"
"31","M Hunziker, E Egli, A Wallner","return of predators: reasons for existence or lack of public acceptance",1998,"KORA Ber","An_T_primary"
"32","J Stanley","the machakos wildlife forum: the story from a woman on the land",2000,"Wildlife Conservation by Sustainable Use","An_T_primary"
"34","JP Galhano-Alves","man and wild boar: a study in montesinho natural park, portugal",2004,"Galemys","An_T_primary"
"36","R Yau","minilivestock",2011,"","An_T_primary"
"54","Y Jamtsho, S Wangchuk","global ecology and conservation",2016,"","An_T_primary"
"56","M Altrichter, G Boaglio, P Perovic","the decline of jaguars panthera onca in the argentine chaco",2006,"Oryx","An_T_primary"
"57","PJ Nyhus, SA Osofsky, P Ferraro, ...","bearing the costs of human-wildlife conflict: the challenges of compensation schemes",2005,"CONSERVATION …","An_T_primary"
"61","A Maji?, AJ Bath","changes in attitudes toward wolves in croatia",2010,"Biological Conservation","An_T_primary"
"63","RP Reading, L McCain, TW Clark, BJ Miller","understanding the controversy surrounding black-tailed prairie dog restoration efforts",2005,"Facets of Grassland …","An_T_primary"
"68","JR Foster, JL Roseberry, A Woolf","factors influencing efficiency of white-tailed deer harvest in illinois",1997,"The Journal of wildlife management","An_T_primary"
"69","E Hanna","edward hanna",0,"unbc.ca","An_T_primary"
"76","TL Goedeke","in the eye of the beholder: changing social perceptions of the florida manatee",2004,"Society & Animals","An_T_primary"
"85","I Allen","environmental education for survival: the use of radio among nomads",1987,"Southern African Journal of Environmental Education","An_T_primary"
"91","S Jones","becoming a pest: prairie dog ecology and the human economy in the euroamerican west",1999,"Environmental History","An_T_primary"
"96","G Knudsen-Hoffman","edna gorney",0,"PALESTINIAN AND ISRAELI ENVIRONMENTAL …","An_T_primary"
"99","PS Gipson, WB Ballard, RM Nowak","famous north american wolves and the credibility of early wildlife literature",1998,"Wildlife Society Bulletin","An_T_primary"
"107","R Scarce","what do wolves mean? conflicting social constructions of canis lupus in “bordertown”",1998,"Human Dimensions of Wildlife","An_T_primary"
"108","DE Booth","the economics and ethics of old-growth forests",1992,"Environmental Ethics","An_T_primary"
"113","A Potts","kiwis against possums: a critical analysis of anti-possum rhetoric in aotearoa new zealand",2009,"Society & Animals","An_T_primary"
"120","CA Tisdell","economic incentives to conserve wildlife on private lands: analysis and policy",2004,"The Environmentalist","An_T_primary"
"125","M Ridley, BS Low","can selfishness save the environment?",1993,"Human Ecology Review","An_T_primary"
"130","O Gonzalez-Pagan","hawaii residents' attitudes towards the management of an invasive frog species (eleutherodactylus coqui)",2007,"","An_T_primary"
"137","AT Kincaid","wild or feral? historical and biological consideration of free roaming horses (frh) in alberta",2008,"","An_T_primary"
"139","FB Wire, AB Hatch","administration of beaver in the western united states",1943,"The Journal of Wildlife Management","An_T_primary"
"144","NB Vyas","untested pesticide mitigation requirements: ecological, agricultural, and legal implications",2013,"Drake J. Agric. L.","An_T_primary"
"145","CL Cadieux","pronghorn, north america's unique antelope: the practical guide for hunters",1986,"","An_T_primary"
"146","JH Koeman, WMJ Den Boer, AF Feith, ...","three years' observation on side effects of helicopter applications of insecticides used to exterminate glossina a species in nigeria",1978,"Environmental Pollution …","An_T_primary"
"151","S Wei","animal welfare legislation in china: public understanding and education",2006,"Animals, ethics and trade: The challenge of animal …","An_T_primary"
"153","EP Pister","endangered species: costs and benefits",1979,"Great Basin Naturalist Memoirs","An_T_primary"
"155","M Mkono","'eating the animals you come to see': tourists' meat-eating discourses in online communicative texts",2015,"Animals and Tourism: Understanding Diverse …","An_T_primary"
"156","Y Suzuki","putting the lion out at night: domestication and the taming of the wild",2007,"Where the wild things are: Domestication …","An_T_primary"
"160","JW Walker","proposal for control and eradication",1977,"… Fact-finding Conference: April 4-5, …","An_T_primary"
