"","Link","Anchor Text","grp"
"1","https://www.lawcom.gov.uk/project/wildlife-law/","wildlife law | law commission","D_T_grey"
"2","http://www.publish.csiro.au/WR/","csiro publishing | wildlife research","D_T_grey"
"3","http://www.csun.edu/~vcpsy00h/students/barbara.htm","wildlife education and attitudes toward animals","D_T_grey"
"4","https://en.wikipedia.org/wiki/Culling","culling - wikipedia","D_T_grey"
"5","https://www.nytimes.com/2016/09/30/opinion/wildlife-management-the-view-from-washington.html","opinion | wildlife management: the view from washington","D_T_grey"
"6","http://wildlifehabitat.tamu.edu/Lessons/Wildlife-Habitat-Planning/Readings/Example-Management-Plan.pdf","wildlife management plan for rising star ranch","D_T_grey"
"7","http://www.cienciaanimal.ufpa.br/CA_selecao/M/2010/biblio/Prod/conservac/chardonnet_et_al_2002.pdf","the value of wildlife - ufpa","D_T_grey"
"8","http://sero.nmfs.noaa.gov/protected_resources/marine_mammal_health_and_stranding_response_program/mmstranding_organizations/index.html","southeast u.s. marine mammal stranding network ...","D_T_grey"
"9","http://wildlifecontrol.info/nuisance-wildlife-management/","wildlife damage management - wildlife control information","D_T_grey"
"10","http://www.fao.org/3/a-i6574e.pdf","fact sheet: sustainable wildlife management and gender","D_T_grey"
"11","http://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=1334&context=rtd","the anti-hunting movement--the people involved","D_T_grey"
"12","http://kingcounty.gov/depts/regional-animal-services/animal-control-response.aspx","animal control response - king county","D_T_grey"
"13","https://extension.psu.edu/woodchucks","woodchucks - penn state extension","D_T_grey"
"14","https://www.orkin.com/wildlife/","humane wildlife control & exclusion - orkin.com","D_T_grey"
"15","http://www.pigeon.psy.tufts.edu/avc/akins/","visual control of sexual behavior - tufts university","D_T_grey"
"16","http://www.totalpestcontrol.ie/","pest control dublin | rodent control dublin | bird control ...","D_T_grey"
"17","https://www.crittercontrol.com/","animal & wildlife removal","D_T_grey"
"18","http://www.abc.net.au/science/articles/2009/09/02/2674674.htm","solving australia's mammal extinction crisis › analysis ...","D_T_grey"
"19","https://www.ecologyandsociety.org/vol15/iss4/art10/","an evaluation of feral cat management options using a ...","D_T_grey"
"20","https://www.cabi.org/isc/abstract/20123108237","attitude strength and social acceptability of cormorant control programs on lake champlain.","D_T_grey"
"21","https://www.cabi.org/isc/abstract/20173052821","public acceptance of management methods under different human-wildlife conflict scenarios.","D_T_grey"
"22","https://www.cabi.org/isc/abstract/20143054779","public perceptions of significant wildlife in hyogo, japan.","D_T_grey"
"23","https://www.cabi.org/isc/abstract/20103120078","changes in aboriginal perceptions of feral camels and of their impacts and management.","D_T_grey"
"24","https://www.cabi.org/isc/abstract/20163243621","response of native species 10 years after rat eradication on anacapa island, california.","D_T_grey"
"25","https://www.cabi.org/isc/abstract/20103305882","influence of demographics, experience and value orientations on preferences for lethal management of feral cats.","D_T_grey"
"26","https://www.cabi.org/isc/abstract/20133217812","purposes, outcomes and challenges of eradicating invasive mammals from new zealand islands: an historical perspective.","D_T_grey"
"27","https://www.cabi.org/isc/abstract/20113269989","analyzing the social factors that influence willingness to pay for invasive alien species management under two different strategies: eradication and prevention.","D_T_grey"
"28","https://www.cabi.org/isc/abstract/20143234836","responses by farmers to the apple snail invasion of ecuador's rice fields and attitudes toward predatory snail kites.","D_T_grey"
"29","https://www.cabi.org/isc/abstract/20133359829","exotic grasses and wildlife in northern mexico.","D_T_grey"
"30","https://www.cabi.org/isc/abstract/20173019868","human-cat relationship in an oceanic biosphere reserve: the case of la palma island, canary archipelago.","D_T_grey"
"31","https://www.cabi.org/isc/abstract/20103203142","identifying and implementing targeted carp control options for the lower lachlan catchment.","D_T_grey"
"32","https://www.cabi.org/isc/abstract/20163276468","acute toxicity and risk to lizards of rodenticides and herbicides commonly used in new zealand.","D_T_grey"
"33","http://www.sciencedirect.com/science/article/pii/S0378112717300452","response of bird community structure to habitat management in piñon ...","D_T_grey"
"34","https://www.ncbi.nlm.nih.gov/books/NBK208754/","wildlife damage and control - land use and wildlife resources ...","D_T_grey"
"35","https://books.google.co.uk/books?id=4as2AQAAMAAJ&pg=SL1-PA41&lpg=SL1-PA41&dq=(management+OR+control+OR+cull+OR+eradicate+OR+exterminate+OR+extermination)+AND+(attitude+OR+value+OR+perception+OR+response+OR+reaction+OR+opinion+OR+accept+OR+belief+OR+preference)+AND+(mammal+OR+bird+OR+reptile+OR+amphibian+OR+vertebrate+OR+wildlife)&source=bl&ots=yE30yoyVAn&sig=uo_UVAXXv2ic0tl0wVKgltq8r2Y&hl=en&sa=X&ved=0ahUKEwiU8aDR-L3XAhULPVAKHV2wDZMQ6AEIbDAL","san bernardino national forest (n.f.)","D_T_grey"
