"","Authors","Title","Year","Source","grp"
"1","T Randveer","the attitude of estonians towards large carnivores",2006,"Acta Zoologica Lituanica","D_T_primary"
"2","DS Favre","wildlife rights: the ever-widening circle",1978,"Envtl. L.","D_T_primary"
"13","C Packer","serengeti lion survey",1990,"Report to TANAPA, SWRI, MWEKA and the Wildlife …","D_T_primary"
"16","????, ???, ????","???????????, ???????????????????",2003,"??????: Wildlife conservation Japan","D_T_primary"
"17","E Raichev, D Georgiev","hunters'attitude to some protected mammals and birds in bulgaria",2012,"Trakia Journal of Sciences","D_T_primary"
"21","SR Swinburne","once a wolf: how wildlife biologists fought to bring back the gray wolf",2001,"","D_T_primary"
"23","RB Gill","to save a mountain lion: evolving philosophy of nature and cougars",2009,"Cougar: ecology and conservation. University of …","D_T_primary"
"24","TIM SNOW","wildlife-human conflict resolution methods and agrochemical abuse problems",2006,"“PREVENTION IS THE CURE”!","D_T_primary"
"28","M Anandam, PV Ahuja, TA Shah","himalayan langur project final report (2012-2013)",2013,"","D_T_primary"
"30","J Winn, W Stolzenburg","rat island: predators in paradise and the world's greatest wildlife rescue",2012,"Natural Areas Journal","D_T_primary"
"39","CB Montgomery","teaching with animals: goals and guidelines",1978,"Early Childhood Education Journal","D_T_primary"
"44","JH Webster","wolves and the white sands missile range: the army's changing attitude toward its role under the endangered species act",1996,"Federal Facilities Environmental Journal","D_T_primary"
"46","L Ford","coyote goes downriver: an historical geography of coyote migration into the fraser valley",2000,"","D_T_primary"
"47","R Bennitt","wildlife conservation and geography",1940,"Journal of Geography","D_T_primary"
"49","AH Macpherson, WJ Richardson, ...","a rctic",1981,"…","D_T_primary"
"62","Y Jamtsho, S Wangchuk","assessing patterns of human–asiatic black bear interaction in and around wangchuck centennial national park, bhutan",2016,"Global Ecology and Conservation","D_T_primary"
"65","R Hardin, P Auzel","wildlife utilization and the emergence of viral diseases",2001,"Hunting and Bushmeat Utilization in the …","D_T_primary"
"94","CA Tisdell","environmental conservation: economics, ecology, and ethics",1989,"Environmental Conservation","D_T_primary"
"95","J Dougherty","last chance for the lobo",2007,"High Country News","D_T_primary"
"105","MW Refuge","growing power of humanitarians evident as leaders plan expanded progratns at hsus annual meeting",1969,"","D_T_primary"
"106","A Estrada, R Butler","tropical conservation science: a diverse landscape of conservation issues",2010,"","D_T_primary"
"112","JM Glover","thinking like a wolverine: the ecological evolution of olaus murie",1989,"Environmental Review: ER","D_T_primary"
"127","T Williams","doggone!",2009,"Audubon","D_T_primary"
"128","M Gochfeld","current status of and threats to some parrots of the lesser antilles",1974,"Biological Conservation","D_T_primary"
"131","K Schanning","human dimensions: public opinion research concerning wolves in the great lakes states of michigan, minnesota, and wisconsin",2009,"Recovery of gray wolves in the Great Lakes Region of …","D_T_primary"
"134","S Luckett, M Khulani, D Potter","the expe ri ence of local boards in kwazulu natal, south africa",2003,"Protected Areas Programme","D_T_primary"
"135","D Western","patterns of depletion in a kenya rhino population and the conservation implications",1982,"Biological Conservation","D_T_primary"
"148","J Sanbonmatsu","it is one of the great unacknowledged paradoxes of our time that even as the ethical and pruden-tial case for the abolition of human domination of other beings goes …",2014,"Critical Animal Studies: Thinking the …","D_T_primary"
"161","P Kaczensky","first assessment of nomrog and dornod mongol strictly protected areas in the eastern steppe of mongolia for the re-introduction of przewalski's horses",2005,"Wildlife Conservation Society (WCS) report","D_T_primary"
"181","A Majic?","human dimensions in wolf management in croatia: understanding public attitudes toward wolves over time and space",2007,"","D_T_primary"
"182","RB Walker","fauna and flora protection in new south wales, 1866–1948",1991,"Journal of Australian Studies","D_T_primary"
"187","A Simon","a historical and case study analysis of the reasons why many trophy hunters are hostile toward wolves and wolf advocates",2013,"Capitalism Nature Socialism","D_T_primary"
"201","E Røskaft, B Händel, T Bjerke, BP Kaltenborn","human attitudes towards large carnivores in norway",2007,"Wildlife biology","D_T_primary"
"203","J Horacek","bibliography of the history of australian science, no. 24, 2003",2004,"Historical Records of Australian Science","D_T_primary"
"207","TR Dunlap",""" the coyote itself"": ecologists and the value of predators, 1900-1972",1983,"Environmental Review: ER","D_T_primary"
"216","RT Wilson","wildlife in northern darfur, sudan: a review of its distribution and status in the recent past and at present",1980,"Biological conservation","D_T_primary"
"220","R Scarce","more than mere wolves at the door: reconstructing community amidst a wildlife controversy",2005,"… about wildlife: Looking at social conflict over wildlife","D_T_primary"
"224","G Marcuse","robert p. weller, discovering nature, globalization and environmental culture in china and taiwan (cambridge: cambridge university press, 2006), 189 …",2014,"Journal for the Study of Religion, Nature and Culture","D_T_primary"
"235","B McCoppin","primary health care and companion animals ('pets')",2005,"Australian Journal of Primary Health","D_T_primary"
"238","JW Hinton, DR Rabon, MJ Chamberlain","strategies for red wolf recovery and management: a response to way (2014)",2015,"Canid Biol. Conserv","D_T_primary"
"250","M Jaakkola, S Laasonen, T Vuorinen","safeguarding the saimaa ringed seal",2014,"… D4. Pre and post-project attitudes for …","D_T_primary"
