Link,Anchor Text
https://www.cabi.org/isc/abstract/20153295066 ,Understanding and integrating knowledge to improve invasive species management.
https://www.cabi.org/isc/abstract/20173019869 ,Are you aware of what you are doing? Asking Italian hunters about an invasive alien species they are introducing.
https://www.cabi.org/isc/abstract/20123289454 ,Public perceptions of domestic cats and preferences for feral cat management in the southeastern United States.
https://www.cabi.org/isc/abstract/20153216412 ,Dimensions of local public attitudes towards invasive species management in protected areas.
https://www.cabi.org/isc/abstract/20173210946 ,Perception matrices: an adaptation of repertory grid technique.
https://www.cabi.org/isc/abstract/20133413292 ,Exploring public perception of non-native species from a visions of nature perspective.
https://www.cabi.org/isc/abstract/20123108237 ,Attitude strength and social acceptability of cormorant control programs on Lake Champlain.
https://www.cabi.org/isc/abstract/20173052821 ,Public acceptance of management methods under different human-wildlife conflict scenarios.
https://www.cabi.org/isc/abstract/20163013493 ,A human-centered approach to designing invasive species eradication programs on human-inhabited islands.
https://www.cabi.org/isc/abstract/20143117504 ,The red-bellied squirrel in Argentina and the management of introduced species as a biological and social problem.
https://www.cabi.org/isc/abstract/20103249308 ,Public perceptions of feral cats within an urban conservancy on a campus of the University of KwaZulu-Natal.
https://www.cabi.org/isc/abstract/20133343859 ,"Invasive and introduced plants and animals: human perceptions, attitudes and approaches to management."
https://www.cabi.org/isc/abstract/20173121986 ,"Eradicating the grey squirrel <i xmlns=""http://www.w3.org/1999/xhtml Sciurus carolinensis</i> from urban areas: an innovative decision-making approach based on lessons learnt in Italy."
https://www.cabi.org/isc/abstract/20143054779 ,"Public perceptions of significant wildlife in Hyogo, Japan."
https://www.cabi.org/isc/abstract/20103050680 ,Factors related to preferences for trap-neuter-release management of feral cats among Illinois homeowners.
https://www.cabi.org/isc/abstract/20123200919 ,"Factor influencing public preference for raccoon eradication plan in Kanagawa, Japan."
https://www.cabi.org/isc/abstract/20143262768 ,Weeds and wildlife: perceptions and practices of weed managers.
https://www.cabi.org/isc/abstract/20113123893 ,Eradication of invasive mammals on islands inhabited by humans and domestic animals.
https://www.cabi.org/isc/abstract/20113223654 ,Factors influencing public preferences for invasive alien species management.
https://www.cabi.org/isc/abstract/20173271643 ,Assessing landowners' attitudes toward wild hogs and support for control options.
https://www.cabi.org/isc/abstract/20163116461 ,Understanding public perceptions of risk regarding outdoor pet cats to inform conservation action.
https://www.cabi.org/isc/abstract/20083002509 ,Managing feral horses in Victoria: a study of community attitudes and perceptions.
https://www.cabi.org/isc/abstract/20153029503 ,A comparison of attitudes towards introduced wildlife in New Zealand in 1994 and 2012.
https://www.cabi.org/isc/abstract/20113061984 ,An evaluation of feral cat management options using a decision analysis network.
https://www.cabi.org/isc/abstract/20173271076 ,"A survey of public opinion on cat (<i xmlns=""http://www.w3.org/1999/xhtml Felis catus</i>) predation and the future direction of cat management in New Zealand."
https://www.cabi.org/isc/abstract/20173084221 ,Conserving biodiversity in New Zealand's lowland landscapes: does forest cover or pest control have a greater effect on native birds?
https://www.cabi.org/isc/abstract/20073222702 ,Public attitudes to the management of invasive non-native species in Scotland.
https://www.cabi.org/isc/abstract/20133100463 ,Understanding the threats posed by non-native species: public vs. conservation managers.
https://www.cabi.org/isc/abstract/20103120078 ,Changes in Aboriginal perceptions of feral camels and of their impacts and management.
https://www.cabi.org/isc/abstract/20163243621 ,"Response of native species 10 years after rat eradication on Anacapa Island, California."
https://www.cabi.org/isc/abstract/20153389469 ,Hawkweed eradication from NSW: could this be 'the first'?
