Link, Anchor Text
http://www.kentwildlifetrust.org.uk/sites/default/files/kwt_land_mgt_advice_sheet_7_-_scrub_-value_for_wildlifemgt.pdf, Scrub  its value for wildlife and how to manage it - Kent Wildlife trust
http://www.nature.com/scitable/knowledge/library/ethics-of-wildlife-management-and-conservation-what-80060473, Ethics of Wildlife Management and Conservation: What Should We Try ...
http://jncc.defra.gov.uk/pdf/pubs93_Coppicedwoodlands.pdf, Coppiced woodlands: their management for wildlife - JNCC
http://www.sciencedirect.com/science/article/pii/S0378112717300452, Response of bird community structure to habitat management in piñon ...
http://onlinelibrary.wiley.com/doi/10.1111/cobi.12896/pdf, International consensus principles for ethical wildlife control
https://www.ncbi.nlm.nih.gov/books/NBK208754/, Wildlife Damage and Control - Land Use and Wildlife Resources ...
https://en.wikipedia.org/wiki/Wildlife_management, Wildlife management - Wikipedia
http://www.tandfonline.com/doi/abs/10.1080/10871209.2016.1116029, Pet Ownership - attitude towards pets and support for wildlife
https://books.google.co.uk/books?id=2SNnAQAAQBAJ&pg=PA40&lpg=PA40&dq=(management+OR+control+OR+cull+OR+eradicate+OR+exterminate+OR+extermination)+AND+(attitude+OR+value+OR+perception+OR+response+OR+reaction+OR+opinion+OR+accept+OR+belief+OR+preference)+AND+(mammal+OR+bird+OR+reptile+OR+amphibian+OR+vertebrate+OR+wildlife)&source=bl&ots=t7stCnTk8v&sig=IB3misI4_9rFy57fNHIdXz_0j6w&hl=en&sa=X&ved=0ahUKEwiU8aDR-L3XAhULPVAKHV2wDZMQ6AEIXTAI, Wildlife Management and Conservation: Contemporary Principles and ...
https://link.springer.com/article/10.1007/s10980-016-0463-x, Bird response to future climate and forest management focused on ...
https://pubs.er.usgs.gov/publication/70188555, Response of bird community structure to habitat management in piñon ...
