Link,Anchor Text
http://hdl.handle.net/10453/23484 ,Impacts of invasive exotic plants on reptile and amphibianassemblages.
http://mds.marshall.edu/etd/677 ,Potential of Urban Habitats as Reptile and Amphibian Refuges in West Virginia.
http://eprints.utas.edu.au/12310/2/whole.pdf ,The effects of domestic dogs (Canis familiaris) as a disturbance agent on the natural environment.
http://purl.galileo.usg.edu/uga_etd/lane_vanessa_r_201012_phd,"Plant, small mammal, and bird community responses to a gradient of site preparation intensities in pine plantations in the Coastal Plain of North Carolina."
http://hdl.handle.net/2346/46991,"Wildlife rehabilitation centers: Survey of rehabilitators’ attitudes, motivations, and knowledge & study of animal admittance to the South Plains Wildlife Rehabilitation Center."
http://dspace.unza.zm:8080/xmlui/handle/123456789/4623,An Assessment of Tourism Development in Kafue National Park-North .
http://hdl.handle.net/10355/59821,Novel approaches to conserving the viability of regional wildlifepopulations in response to landscape and climate change.
http://hdl.handle.net/10523/4688,Detecting Frogs as Prey in the Diets of Introduced Mammals .
http://www.lib.ncsu.edu/resolver/1840.16/1798 ,Long-term Response of Herpetofauna and Soricids to Prescribed Fire and Fuel Reduction Treatments in the Southern Appalachian Mountains.
http://digitalcommons.uri.edu/oa_diss/36,Assessment of Mammal Biodiversity in Coffee-Dominated Landscapes of India and Costa Rica.
http://hdl.handle.net/10138/160886,Biodiversity in golf courses and its contribution to the diversity of open green spaces in an urban setting.
http://hdl.handle.net/10125/101656,An historical analysis of hunting in Hawaiʻi.
http://repository.uwa.edu.au:80/R/?func=dbin-jump-full&object_id=33792&local_base=GEN01-INS01,Development and application of assisted reproductive technologies (ART) for the conservation of anuran amphibians.
http://hdl.handle.net/2440/69173,"Land-use change, tropical biodiversity, and ecosystem services - Southeast Asian amphibians and reptiles in focus."
http://opus.ipfw.edu/masters_theses/43,Wetland Habitat and Occupancy of the Imperiled Copper-bellied Watersnake (Nerodia erythrogaster neglecta) and Other Herpetofauna.
http://hdl.handle.net/1969.1/ETD-TAMU-2003-THESIS-M374,Woody plant and wintering grassland bird responses to summer prescribed burning in grazed and ungrazed Texas Mid-Coastal Prairies
http://purl.umn.edu/47857,"Wildlife conservation in social, economic, and ecological contexts: multiple stakeholders and extraordinary resource value in a Congolese National Park."
http://scholarworks.montana.edu/xmlui/handle/1/1904,Avian community response to a mountain pine beetle epidemic.
http://purl.galileo.usg.edu/uga_etd/todd_brian_d_200805_phd,Effects of forest harvesting on reptiles and amphibians of the southeastern United States.
https://etda.libraries.psu.edu/catalog/9390,BIRD POPULATION RESPONSES TO.
http://purl.galileo.usg.edu/uga_etd/davis_andrew_k_201008_phd,"The hematological response of amphibians to stress and its implications for research, management and conservation."
