Link, Anchor Text
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1000&context=nwrchumanconflicts, fundamentals of economic principles and wildlife management
http://digitalcommons.unl.edu/vpcthirteen/8/,ATTITUDE CHANGE TOWARD VERTEBRATE PEST CONTROL
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1084&context=icwdm_usdanwrc, Emergency Wildlife Management Response to Protect Evidence ...
https://repository.tudelft.nl/islandora/object/uuid:489bfa58-38fb-4bb9-8af7-a22e10193a40/datastream/OBJ/download, Masters Thesis: Value analysis of Integral bird control at an airport
https://naldc.nal.usda.gov/download/27787/PDF, Animal preferences and acceptability of wildlife management ...
https://repository.tudelft.nl/islandora/object/uuid%3A489bfa58-38fb-4bb9-8af7-a22e10193a40, Value analysis of integral bird control at an airport | TU Delft ...
https://naldc.nal.usda.gov/download/14920/PDF, Response of Seedling Bird Vetch (Vicia cracca) to Six Herbicides
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1382&context=icwdm_usdanwrc, Economics in Wildlife Damage Management Studies: Common ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC339232/, Foreign animal diseases and Canadian wildlife: Reasons for ...
https://naldc.nal.usda.gov/download/39031/PDF, Evaluation of Bird Response to Propane Exploders in an Airport ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4592493/, Urban and rural habitats differ in number and type of bird feeders ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1278834/, The initiation and maintenance of bradycardia in a diving mammal ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4876446/, Quantitative evidence for the effects of multiple drivers on ...
http://research.ku.dk/search/?pure=en/publications/understanding-the-cognitive-basis-for-humanwildlife-relationships-as-a-key-to-successful-protectedarea-management(bdc3e0c0-4a84-40b5-8d49-fd9d03900d90)/export.html, Understanding the cognitive basis for human-wildlife relationships ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2894960/, Wildlife tracking data management: a new vision
http://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1276&context=govdocs, BIRD DAMAGE MANAGEMENT IN WYOMING
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1391&context=icwdm_usdanwrc, management of vegetation to reduce wildlife hazards at airports
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1228&context=usgsnpwrc, The Importance of Replication in Wildlife Research
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1153&context=icwdm_usdanwrc, vegetation management approaches for reducing wildlife-aircraft ...
http://www.zora.uzh.ch/136936/1/Grant_et_al-2017-Frontiers_in_Ecology_and_the_Environment.pdf, Using decision analysis to support proactive management of ...
http://conservancy.umn.edu/handle/11299/183571,Breeding bird response to partially harvested riparian management zones
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4552204/, Integrating Values and Ethics into Wildlife Policy and Management ...
http://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=4246&context=etd, Assessment of wildlife value orientations  state agency credibility …
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4278530/, Ecological feedbacks can reduce population-level efficacy of wildlife ...
http://scholarworks.umass.edu/open_access_dissertations/464/," ""The Conservation Value of Residential Landscapes for Native Bird ..."
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1460&context=icwdm_usdanwrc, Understanding Avian Vision: The Key to Using Light in Bird ...
http://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1069&context=nerr, Attitudes of Park Visitors Toward Wildlife and Black Bear Management
http://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1470&context=open_access_dissertations, The Conservation Value of Residential Landscapes for Native Bird ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4262077/, Meta-Analysis of Attitudes toward Damage-Causing Mammalian ...
http://digitalcommons.unl.edu/gpwdcwp/38/,Great Plains Wildlife Damage Control Workshop Proceedings
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4662097/, Trapping and furbearer management in North American wildlife ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1191&context=ncfwrustaff, Breeding bird response to partially harvested riparian management ...
http://opensiuc.lib.siu.edu/dissertations/1323/,EFFECTS OF SCALE AND HABITAT MANAGEMENT ON GRASSLAND BIRD RESPONSE IN CONSERVATION RESERVE PROGRAM FIELDS IN NORTHWEST ILLINOIS
https://ageconsearch.umn.edu/bitstream/27976/1/02010003.pdf, TRADEOFFS-PRIVATE & PUBLIC Wildlife Mgmt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5071339/, Concept of scientific wildlife conservation and its dissemination
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4933086/, Cost-benefit trade-offs of bird activity in apple orchards
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4451018/, Bird biodiversity assessments in temperate forest: the value of point ...
