Link,Anchor Text
Proquest,Is Wetter Better?
Proquest,The evolution of viviparity in lizards
Proquest,Food specificity in interspecies competition
Proquest,Emotion and cognition in political information-processing
Proquest,"Farming the forest edge: Vulnerable places and people around Kibale National Park, Uganda"
Proquest,The role of cardiac shunts in the regulation of arterial blood gases
Proquest,Emergence of novel functions during brain evolution
Proquest,Attitude-strength and support of recreation management strategies
Proquest,"Response of herpetofaunal communities to forest cutting and burning at Chesapeake Farms, Maryland"
Proquest,Integrative studies of amphibians: From molecules to mating
Proquest,The changing state of surfactant lipids: New insights from ancient animals
Proquest,Protecting Nature's Diversity: Mending Strands in the Web of Life
Proquest,Conflicts and choices in biodiversity preservation
Proquest,Noxious facilities and host community response: A causal framework
Proquest,"An assessment of British farmers' and gamekeepers' experiences, attitudes and practices in relation to the European Polecat Mustela putorius"
Proquest,"Roads on the U.S. national forests: An analysis of public attitudes, beliefs, and values expressed in the news media"
Proquest,The ultimate underdog: The battle over prairie dogs on the great plains
Proquest,Becoming a pest: Prairie dog ecology and the human economy in the Euroamerican West
Proquest,Predation by introduced foxes on native bush rats in Australia: Do foxes take the doomed surplus?
Proquest,The influence of acorn on annual variation in rodent and bird populations
Proquest,The impact of logging on wildlife
Proquest,Exploring the preferences of wildlife recreationists for features of boreal forest management: A choice experiment approach
Proquest,Ticks (Acari: Ixodidae) spread by the international trade in reptiles andtheir potential roles in dissemination of diseases
Proquest,Small-mammal responses to peat mining of southeastern Canadian bogs
Proquest,Response of American kestrels and gray-tailed voles to vegetation height and supplemental perches
Proquest,MANAGING BISON TO RESTORE BIODIVERSITY
Proquest,Complete Mitochondrial DNA Sequence of Conger myriaster (Teleostei: Anguilliformes): Novel Gene Order for Vertebrate Mitochondrial Genomes and the Phylogenetic Implications for Anguilliform Families
Proquest,Toward a blueprint for conservation in Africa
Proquest,Managing Birds and Controlling Aircraft in the Kennedy Airport-Jamaica Bay Wildlife Refuge Complex: The Need for Hard Data and Soft Opinions
Proquest,"Global change in forests: Responses of species, communities, and biomes"
Proquest,Value to Wildlife of Urban-Agricultural Parks: A Case Study from Rome Urban Area
Proquest,Response of nontarget species to underground strychnine baiting for pocket gopher in southwest Oregon
Proquest,"Science, sentiment, and the specter of extinction: Reconsidering birds of prey during America's interwar years"
Proquest,Top carnivores in the suburbs? Ecological and conservation issues raised by colonization of Northeastern North America by coyotes
Proquest,"Values, gender, and concern about potentially dangerous wildlife"
