Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Document Type,,
"Epele, L.B., Manzo, L.M., Grech, M.G., Macchi, P., Claverie, A.Ñ., Lagomarsino, L., Miserendino, M.L.",Disentangling natural and anthropogenic influences on Patagonian pond water quality,2018,Science of the Total Environment,613-614,,,866,876,,,10.1016/j.scitotenv.2017.09.147,Article,,
"?opucki, R., Klich, D., ?cibior, A., Go??biowska, D., Perzanowski, K.",Living in habitats affected by wind turbines may result in an increase in corticosterone levels in ground dwelling animals,2018,Ecological Indicators,84,,,165,171,,,10.1016/j.ecolind.2017.08.052,Article,,
"Alomar, H., Chabert, A., Coeurdassier, M., Vey, D., Berny, P.","Accumulation of anticoagulant rodenticides (chlorophacinone, bromadiolone and brodifacoum) in a non-target invertebrate, the slug, Deroceras reticulatum",2018,Science of the Total Environment,610-611,,,576,582,,,10.1016/j.scitotenv.2017.08.117,Article,,
"Larrieu, L., Paillet, Y., Winter, S., Bütler, R., Kraus, D., Krumm, F., Lachat, T., Michel, A.K., Regnery, B., Vandekerkhove, K.",Tree related microhabitats in temperate and Mediterranean European forests: A hierarchical typology for inventory standardization,2018,Ecological Indicators,84,,,194,207,,,10.1016/j.ecolind.2017.08.051,Article,,
"Holland, J.E., Bennett, A.E., Newton, A.C., White, P.J., McKenzie, B.M., George, T.S., Pakeman, R.J., Bailey, J.S., Fornara, D.A., Hayes, R.C.","Liming impacts on soils, crops and biodiversity in the UK: A review",2018,Science of the Total Environment,610-611,,,316,332,,,10.1016/j.scitotenv.2017.08.020,Review,,
"Nilsen, F.M., Dorsey, J.E., Lowers, R.H., Guillette, L.J., Long, S.E., Bowden, J.A., Schock, T.B.","Evaluating mercury concentrations and body condition in American alligators (Alligator mississippiensis) at Merritt Island National Wildlife Refuge (MINWR), Florida",2017,Science of the Total Environment,607-608,,,1056,1064,,,10.1016/j.scitotenv.2017.07.073,Article,,
"Golding, J.D., Dreitz, V.J.",Songbird response to rest-rotation and season-long cattle grazing in a grassland sagebrush ecosystem,2017,Journal of Environmental Management,204,,,605,612,,,10.1016/j.jenvman.2017.09.044,Article,,
"Zhou, L., Zhang, W., Xie, W., Chen, H., Yu, W., Li, H., Shen, G.",Tributyl phosphate impairs the urea cycle and alters liver pathology and metabolism in mice after short-term exposure based on a metabonomics study,2017,Science of the Total Environment,603-604,,,77,85,,,10.1016/j.scitotenv.2017.06.071,Article,,
"Thornton, T.F.",Coastal lakes and lagoons as dynamic sites of exchange among the Tlingit of Alaska,2017,Maritime Studies,16,1,4,,,,,10.1186/s40152-017-0059-3,Article,,
"Dai, C., Hu, W.","Hunting strategies employed by bird hunters with economic pursuit in the city of Guiyang, Southwest China",2017,Journal for Nature Conservation,40,,,33,41,,,10.1016/j.jnc.2017.09.005,Article,,
"McFadden, T.N., Herrera, A.G., Navedo, J.G.",Waterbird responses to regular passage of a birdwatching tour boat: Implications for wetland management,2017,Journal for Nature Conservation,40,,,42,48,,,10.1016/j.jnc.2017.09.004,Article,,
"Gould, P.R., Cecala, K.K., Drukker, S.S., McKenzie, B.A., Van de Ven, C.","Biogeographical factors affecting the distribution of stream salamanders on the Cumberland Plateau, USA",2017,Science of the Total Environment,599-600,,,1622,1629,,,10.1016/j.scitotenv.2017.05.098,Article,,
"Wilson, S., Mitchell, G.W., Pasher, J., McGovern, M., Hudson, M.-A.R., Fahrig, L.","Influence of crop type, heterogeneity and woody structure on avian biodiversity in agricultural landscapes",2017,Ecological Indicators,83,,,218,226,,,10.1016/j.ecolind.2017.07.059,Article,,
"Gill, S.A., Grabarczyk, E.E., Baker, K.M., Naghshineh, K., Vonhof, M.J.",Decomposing an urban soundscape to reveal patterns and drivers of variation in anthropogenic noise,2017,Science of the Total Environment,599-600,,,1191,1201,,,10.1016/j.scitotenv.2017.04.229,Article,,
"Li, C., Fu, L., Stafford, J., Belosevic, M., Gamal El-Din, M.",The toxicity of oil sands process-affected water (OSPW): A critical review,2017,Science of the Total Environment,601-602,,,1785,1802,,1,10.1016/j.scitotenv.2017.06.024,Review,,
"Lehnert, K., Weirup, L., Harding, K.C., Härkönen, T., Karlsson, O., Teilmann, J.","Antarctic seals: Molecular biomarkers as indicators for pollutant exposure, health effects and diet",2017,Science of the Total Environment,599-600,,,1693,1704,,,10.1016/j.scitotenv.2017.04.224,Article,,
"French, A.S., Shaw, D., Gibb, S.W., Taggart, M.A.",Geochemical landscapes as drivers of trace and toxic element profiles in wild red deer (Cervus elaphus),2017,Science of the Total Environment,601-602,,,1606,1618,,,10.1016/j.scitotenv.2017.05.210,Article,,
"Cebrián-Piqueras, M.A., Trinogga, J., Grande, C., Minden, V., Maier, M., Kleyer, M.",Interactions between ecosystem properties and land use clarify spatial strategies to optimize trade-offs between agriculture and species conservation,2017,"International Journal of Biodiversity Science, Ecosystem Services and Management",13,2,,53,66,,1,10.1080/21513732.2017.1289245,Article,,
"Elghandour, M.M.Y., Vallejo, L.H., Salem, A.Z.M., Mellado, M., Camacho, L.M., Cipriano, M., Olafadehan, O.A., Olivares, J., Rojas, S.","Moringa oleifera leaf meal as an environmental friendly protein source for ruminants: Biomethane and carbon dioxide production, and fermentation characteristics",2017,Journal of Cleaner Production,165,,,1229,1238,,,10.1016/j.jclepro.2017.07.151,Article,,
"Earl, J.E., Harper, E.B., Hocking, D.J., Osbourn, M.S., Rittenhouse, T.A.G., Glennie, M., Semlitsch, R.D.",Relative importance of timber harvest and habitat for reptiles in experimental forestry plots,2017,Forest Ecology and Management,402,,,21,28,,,10.1016/j.foreco.2017.07.014,Article,,
"Shea, E.L., Schulte, L.A., Palik, B.J.",Decade-long bird community response to the spatial pattern of variable retention harvesting in red pine (Pinus resinosa) forests,2017,Forest Ecology and Management,402,,,272,284,,,10.1016/j.foreco.2017.07.053,Article,,
"Phoebus, I., Segelbacher, G., Stenhouse, G.B.",Do large carnivores use riparian zones? Ecological implications for forest management,2017,Forest Ecology and Management,402,,,157,165,,,10.1016/j.foreco.2017.07.037,Article,,
"Kanagavel, A., Parvathy, S., Nirmal, N., Divakar, N., Raghavan, R.","Do frogs really eat cardamom? Understanding the myth of crop damage by amphibians in the Western Ghats, India",2017,Ambio,46,6,,695,705,,,10.1007/s13280-017-0908-8,Article,,
"Tryjanowski, P., Morelli, F., Mikula, P., Krištín, A., Indykiewicz, P., Grzywaczewski, G., Kronenberg, J., Jerzak, L.",Bird diversity in urban green space: A large-scale analysis of differences between parks and cemeteries in Central Europe,2017,Urban Forestry and Urban Greening,27,,,264,271,,,10.1016/j.ufug.2017.08.014,Article,,
"Versluijs, M., Eggers, S., Hjältén, J., Löfroth, T., Roberge, J.-M.",Ecological restoration in boreal forest modifies the structure of bird assemblages,2017,Forest Ecology and Management,401,,,75,88,,,10.1016/j.foreco.2017.06.055,Article,,
"Manfredo, M.J., Teel, T.L., Sullivan, L., Dietsch, A.M.","Values, trust, and cultural backlash in conservation governance: The case of wildlife management in the United States",2017,Biological Conservation,214,,,303,311,,,10.1016/j.biocon.2017.07.032,Article,,
"Brieger, F., Hagen, R., Kröschel, M., Hartig, F., Petersen, I., Ortmann, S., Suchant, R.",Do roe deer react to wildlife warning reflectors? A test combining a controlled experiment with field observations,2017,European Journal of Wildlife Research,63,5,72,,,,,10.1007/s10344-017-1130-5,Article,,
"Fraixedas, S., Lindén, A., Meller, K., Lindström, Å., Keišs, O., Kålås, J.A., Husby, M., Leivits, A., Leivits, M., Lehikoinen, A.",Substantial decline of Northern European peatland bird populations: Consequences of drainage,2017,Biological Conservation,214,,,223,232,,,10.1016/j.biocon.2017.08.025,Article,,
"Lieury, N., Devillard, S., Besnard, A., Gimenez, O., Hameau, O., Ponchon, C., Millon, A.",Designing cost-effective capture-recapture surveys for improving the monitoring of survival in bird populations,2017,Biological Conservation,214,,,233,241,,,10.1016/j.biocon.2017.08.011,Article,,
"Caplenor, C.A., Poudyal, N.C., Muller, L.I., Yoest, C.",Assessing landowners’ attitudes toward wild hogs and support for control options,2017,Journal of Environmental Management,201,,,45,51,,,10.1016/j.jenvman.2017.06.022,Article,,
"Moroni, E., Crivelaro, A.Z., Soares, T.L., Guillermo-Ferreira, R.",Increased behavioural responses to human disturbance in breeding Burrowing Owls Athene cunicularia,2017,Ibis,159,4,,854,859,,,10.1111/ibi.12513,Article,,
"Horswill, C., O'Brien, S.H., Robinson, R.A.",Density dependence and marine bird populations: are wind farm assessments precautionary?,2017,Journal of Applied Ecology,54,5,,1406,1414,,,10.1111/1365-2664.12841,Review,,
"Regehr, E.V., Wilson, R.R., Rode, K.D., Runge, M.C., Stern, H.L.",Harvesting wildlife affected by climate change: a modelling and management approach for polar bears,2017,Journal of Applied Ecology,54,5,,1534,1543,,1,10.1111/1365-2664.12864,Article,,
[No author name available],"Corrigendum to: Identifying management actions to increase foraging opportunities for shorebirds at semi-intensive shrimp farms (Journal of Applied Ecology, (2017), 54, 2, (567-576), 10.1111/1365-2664.12735)",2017,Journal of Applied Ecology,54,5,,1581,1582,,,10.1111/1365-2664.12974,Erratum,,
"Liordos, V., Kontsiotis, V.J., Anastasiadou, M., Karavasias, E.",Effects of attitudes and demography on public support for endangered species conservation,2017,Science of the Total Environment,595,,,25,34,,,10.1016/j.scitotenv.2017.03.241,Article,,
"Bragin, E.A., Bragin, A.E., Katzner, T.E.",Demographic consequences of nestbox use for Red-footed Falcons Falco vespertinus in Central Asia,2017,Ibis,159,4,,841,853,,,10.1111/ibi.12503,Article,,
"Mykrä, S., Pohja-Mykrä, M., Vuorisalo, T.",Hunters’ attitudes matter: diverging bear and wolf population trajectories in Finland in the late nineteenth century and today,2017,European Journal of Wildlife Research,63,5,76,,,,,10.1007/s10344-017-1134-1,Article,,
"Tulloch, A.I.T., Nicol, S., Bunnefeld, N.",Quantifying the expected value of uncertain management choices for over-abundant Greylag Geese,2017,Biological Conservation,214,,,147,155,,,10.1016/j.biocon.2017.08.013,Article,,
"Raithel, J.D., Reynolds-Hogland, M.J., Koons, D.N., Carr, P.C., Aubry, L.M.",Recreational harvest and incident-response management reduce human–carnivore conflicts in an anthropogenic landscape,2017,Journal of Applied Ecology,54,5,,1552,1562,,,10.1111/1365-2664.12830,Article,,
"Wehi, P.M., Lord, J.M.",Importance of including cultural practices in ecological restoration,2017,Conservation Biology,31,5,,1109,1118,,,10.1111/cobi.12915,Article,,
"O'Brien, S.H., Cook, A.S.C.P., Robinson, R.A.",Implicit assumptions underlying simple harvest models of marine bird populations can mislead environmental management decisions,2017,Journal of Environmental Management,201,,,163,171,,,10.1016/j.jenvman.2017.06.037,Article,,
"Kelleway, J.J., Cavanaugh, K., Rogers, K., Feller, I.C., Ens, E., Doughty, C., Saintilan, N.",Review of the ecosystem service implications of mangrove encroachment into salt marshes,2017,Global Change Biology,23,10,,3967,3983,,,10.1111/gcb.13727,Review,,
"Omondiagbe, H.A., Towns, D.R., Wood, J.K., Bollard-Breen, B.",Stakeholders and social networks identify potential roles of communities in sustainable management of invasive species,2017,Biological Invasions,19,10,,3037,3049,,,10.1007/s10530-017-1506-1,Article,,
"Ringma, J.L., Wintle, B., Fuller, R.A., Fisher, D., Bode, M.",Minimizing species extinctions through strategic planning for conservation fencing,2017,Conservation Biology,31,5,,1029,1038,,,10.1111/cobi.12922,Article,,
"Davidson, K.E., Fowler, M.S., Skov, M.W., Doerr, S.H., Beaumont, N., Griffin, J.N.",Livestock grazing alters multiple ecosystem properties and services in salt marshes: a meta-analysis,2017,Journal of Applied Ecology,54,5,,1395,1405,,1,10.1111/1365-2664.12892,Review,,
"Rocha, R., Ovaskainen, O., López-Baucells, A., Farneda, F.Z., Ferreira, D.F., Bobrowiec, P.E.D., Cabeza, M., Palmeirim, J.M., Meyer, C.F.J.",Design matters: An evaluation of the impact of small man-made forest clearings on tropical bats using a before-after-control-impact design,2017,Forest Ecology and Management,401,,,8,16,,,10.1016/j.foreco.2017.06.053,Article,,
"Stewart, K., Ma, H., Zheng, J., Zhao, J.",Using environmental DNA to assess population-wide spatiotemporal reserve use,2017,Conservation Biology,31,5,,1173,1182,,,10.1111/cobi.12910,Article,,
"Metcalf, A.L., Metcalf, E.C., Khumalo, K., Gude, J., Kujala, Q., Lewis, M.S.","Public wildlife management on private lands: Reciprocity, population status, and stakeholders’ normative beliefs",2017,Human Dimensions of Wildlife,,,,1,19,,,10.1080/10871209.2017.1372534,Article in Press,,
"Soler, R., Espelta, J.M., Lencinas, M.V., Peri, P.L., Martínez Pastur, G.",Masting has different effects on seed predation by insects and birds in antarctic beech forests with no influence of forest management,2017,Forest Ecology and Management,400,,,173,180,,,10.1016/j.foreco.2017.06.014,Article,,
"Knick, S.T., Hanser, S.E., Grace, J.B., Hollenbeck, J.P., Leu, M.",Response of bird community structure to habitat management in piñon-juniper woodland-sagebrush ecotones,2017,Forest Ecology and Management,400,,,256,268,,,10.1016/j.foreco.2017.06.017,Article,,
"MacKenzie, C.A., Salerno, J., Hartter, J., Chapman, C.A., Reyna, R., Tumusiime, D.M., Drake, M.","Changing perceptions of protected area benefits and problems around Kibale National Park, Uganda",2017,Journal of Environmental Management,200,,,217,228,,,10.1016/j.jenvman.2017.05.078,Article,,
"Romano, A., Costa, A., Basile, M., Raimondi, R., Posillico, M., Scinti Roger, D., Crisci, A., Piraccini, R., Raia, P., Matteucci, G., De Cinti, B.",Conservation of salamanders in managed forests: Methods and costs of monitoring abundance and habitat selection,2017,Forest Ecology and Management,400,,,12,18,,,10.1016/j.foreco.2017.05.048,Article,,
"Chavel, E.E., Imbeau, L., Mazerolle, M.J., Drapeau, P.",Boreal small mammals show evidence of density-dependent patterns with area-sensitivity,2017,Forest Ecology and Management,400,,,485,501,,,10.1016/j.foreco.2017.06.008,Article,,
"Daniel, C.J., Ter-Mikaelian, M.T., Wotton, B.M., Rayfield, B., Fortin, M.-J.","Incorporating uncertainty into forest management planning: Timber harvest, wildfire and climate change in the boreal forest",2017,Forest Ecology and Management,400,,,542,554,,,10.1016/j.foreco.2017.06.039,Article,,
